kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
64,1782485072.099745,1.4262,-3.2425,2.72443,lidar,native_s2s,pnp,proximity,0.8258
65,1782485072.421617,1.3242,-3.1753,2.51232,lidar,native_s2s,pnp,proximity,0.8198
66,1782485073.051511,1.0951,-3.029,2.2523,lidar,native_s2s,pnp,proximity,0.8266
67,1782485073.372598,1.0468,-2.9296,1.98199,lidar,native_s2s,pnp,proximity,0.8014
68,1782485074.10063,0.9383,-2.6643,1.7084,lidar,native_s2s,pnp,proximity,0.8276
69,1782485074.627011,0.9147,-2.4588,1.46041,lidar,native_s2s,pnp,proximity,0.8566
70,1782485075.351005,0.9267,-2.1777,1.35875,lidar,native_s2s,pnp,proximity,0.8066
71,1782485076.924696,0.8294,-2.416,1.32978,lidar,native_s2s,pnp,proximity,0.8821
72,1782485077.63908,0.7656,-2.69,1.52767,lidar,native_s2s,pnp,proximity,0.8609
73,1782485078.15368,0.7504,-2.8954,1.74575,lidar,native_s2s,pnp,proximity,0.7972
74,1782485078.466278,0.744,-3.0245,2.02568,lidar,native_s2s,pnp,proximity,0.7669
75,1782485078.777813,0.772,-3.1452,2.30653,lidar,native_s2s,pnp,proximity,0.7513
76,1782485079.3934,0.9519,-3.3333,2.46314,lidar,native_s2s,pnp,proximity,0.8134
77,1782485079.707613,1.0315,-3.4274,2.73628,lidar,native_s2s,pnp,proximity,0.822
78,1782485080.019817,1.1679,-3.4671,3.04779,lidar,native_s2s,pnp,proximity,0.8246
79,1782485080.638137,1.4204,-3.4656,-3.05529,lidar,native_s2s,pnp,proximity,0.8707
80,1782485081.367043,1.7005,-3.4383,3.04757,lidar,native_s2s,pnp,proximity,0.8064
81,1782485081.991888,1.9661,-3.4337,3.05194,lidar,native_s2s,pnp,proximity,0.7597
82,1782485082.605444,2.2278,-3.4406,3.07655,lidar,native_s2s,pnp,proximity,0.805
83,1782485083.229389,2.4953,-3.4334,-3.1286,lidar,native_s2s,pnp,proximity,0.8192
84,1782485083.85591,2.7494,-3.4066,-3.01664,lidar,native_s2s,pnp,proximity,0.8611
85,1782485084.473811,3.0201,-3.3472,-2.92426,lidar,native_s2s,pnp,proximity,0.8547
86,1782485085.105961,3.6279,-3.1946,-2.88105,lidar,native_s2s,pnp,proximity,0.8586
87,1782485085.938807,3.8733,-3.1191,-2.81339,lidar,native_s2s,pnp,proximity,0.8915
88,1782485087.09536,3.8369,-3.1301,-3.05756,lidar,native_s2s,pnp,proximity,0.9393
89,1782485087.614995,3.7454,-3.1146,3.01303,lidar,native_s2s,pnp,proximity,0.9453
90,1782485088.138132,3.6695,-3.0754,2.78819,lidar,native_s2s,pnp,proximity,0.9082
91,1782485088.651787,3.5974,-3.0082,2.52809,lidar,native_s2s,pnp,proximity,0.8654
92,1782485088.962519,3.5458,-2.9607,2.317,lidar,native_s2s,pnp,proximity,0.8733
93,1782485089.274346,3.5057,-2.8831,2.09925,lidar,native_s2s,pnp,proximity,0.8387
94,1782485089.587033,3.5055,-2.8037,1.87505,lidar,native_s2s,pnp,proximity,0.8802
95,1782485090.002726,3.5099,-2.6814,1.60372,lidar,native_s2s,pnp,proximity,0.8455
96,1782485090.416715,3.5699,-2.5716,1.34699,lidar,native_s2s,pnp,proximity,0.8124
97,1782485090.831456,3.6264,-2.4681,1.09044,lidar,native_s2s,pnp,proximity,0.8897
