query,cand,dbow,coarse,refined,accepted
127,81,0.052,0.8894,0.4447,False
341,244,0.0503,0.8827,0.4474,False
343,246,0.0578,0.8025,0.4293,False
344,247,0.0833,0.845,0.4052,False
344,246,0.0647,0.7921,0.4132,False
345,247,0.0635,0.7964,0.3862,False
346,248,0.0728,0.8559,0.4496,False
346,249,0.0652,0.8688,0.4497,False
347,252,0.0671,0.8762,0.4631,False
347,251,0.0545,0.8762,0.4632,False
348,252,0.0508,0.8744,0.315,False
349,252,0.0809,0.8235,0.3504,False
350,253,0.0634,0.9096,0.3268,False
428,112,0.0551,0.2014,0.4109,False
429,112,0.0632,0.2171,0.4047,False
429,114,0.0512,0.274,0.3727,False
430,115,0.0508,0.2742,0.3075,False
431,115,0.0898,0.4088,0.3854,False
431,114,0.0665,0.4088,0.3854,False
434,117,0.0521,0.3265,0.2958,False
450,133,0.1157,0.7607,0.5001,False
451,134,0.105,0.8128,0.2464,False
451,153,0.055,0.6813,0.2224,False
452,134,0.117,0.869,0.5802,False
452,153,0.0834,0.8707,0.5687,False
453,136,0.1579,0.9476,0.5863,False
453,135,0.0887,0.9581,0.5723,False
454,137,0.0522,0.9438,0.4636,False
455,138,0.0861,0.9653,0.5077,False
456,137,0.0847,0.8994,0.3452,False
456,139,0.076,0.901,0.3459,False
457,139,0.1637,0.901,0.3768,False
457,137,0.0922,0.885,0.369,False
458,141,0.0892,0.7842,0.393,False
458,142,0.0783,0.8116,0.4017,False
459,150,0.088,0.8765,0.404,False
459,148,0.0756,0.8935,0.3998,False
460,141,0.0926,0.8459,0.343,False
460,147,0.0611,0.8459,0.3483,False
461,148,0.0915,0.9326,0.3231,False
461,142,0.0828,0.9341,0.322,False
462,142,0.1348,0.9472,0.2496,False
462,143,0.0994,0.9472,0.2462,False
463,143,0.1053,0.9736,0.3761,False
463,146,0.081,0.9736,0.3786,False
464,142,0.0724,0.9681,0.2987,False
464,141,0.0583,0.9681,0.2948,False
465,149,0.0577,0.8589,0.3682,False
465,145,0.0568,0.8604,0.3797,False
466,150,0.1057,0.9328,0.5092,False
467,149,0.0706,0.7468,0.4147,False
467,147,0.059,0.7532,0.4208,False
608,40,0.0501,0.9904,0.8783,False
