query,cand,coarse,refined,dx,dy,dth,accepted
75,45,0.5109,0.475,-5.663,2.119,0.2978,False
80,50,0.5397,0.5354,0.755,0.794,0.051,False
80,49,0.5397,0.5345,0.755,0.794,0.0511,False
85,55,0.6049,0.5797,0.47,0.533,-0.0166,False
85,54,0.6021,0.5741,0.472,0.535,-0.015,False
90,60,0.7487,0.6997,0.464,0.293,-0.0151,True
90,59,0.7442,0.6956,0.465,0.293,-0.015,True
95,63,0.7315,0.7123,0.115,-0.056,-0.0009,True
95,64,0.7338,0.7147,0.112,-0.057,-0.0002,True
100,70,0.8283,0.7702,0.242,-0.142,0.0229,True
100,69,0.8283,0.7702,0.242,-0.142,0.0229,True
105,61,0.7734,0.7149,0.283,-0.083,-0.0617,True
105,62,0.7692,0.7132,0.285,-0.084,-0.0614,True
110,66,0.7728,0.7738,0.27,-0.138,-0.074,True
110,65,0.7814,0.7783,0.254,-0.143,-0.0759,True
115,66,0.6469,0.6402,-0.108,-3.862,0.1993,False
115,65,0.6475,0.6459,-0.12,-3.858,0.1844,False
120,66,0.537,0.5301,-0.674,1.014,-0.4548,False
120,65,0.5374,0.5258,-0.684,1.015,-0.4492,False
125,66,0.5768,0.5614,-5.66,-0.587,0.1799,False
160,130,0.5124,0.4865,0.51,-0.727,-0.2578,False
160,129,0.5144,0.4961,0.505,-0.656,-0.2337,False
165,135,0.5673,0.5536,0.301,0.723,-0.0158,False
165,134,0.5649,0.5493,0.305,0.724,-0.016,False
170,136,0.5759,0.5506,0.417,0.71,-0.005,False
170,135,0.5758,0.5509,0.418,0.708,-0.0052,False
175,134,0.6799,0.6386,-2.598,-0.084,-0.0282,False
175,135,0.6773,0.6329,-2.608,-0.087,-0.0167,False
180,133,0.7169,0.6684,0.808,0.683,-0.0091,True
180,132,0.7091,0.6768,0.806,0.697,-0.017,True
185,134,0.7225,0.6276,0.094,-0.023,0.0085,True
185,135,0.7209,0.6328,0.094,-0.022,0.0094,True
190,138,0.6816,0.6652,0.017,-0.246,0.0425,True
190,139,0.6816,0.6698,0.014,-0.242,0.045,True
195,147,0.6773,0.6544,-0.146,-0.273,0.0772,True
195,148,0.6778,0.6543,-0.146,-0.273,0.0773,True
200,150,0.7496,0.7276,-0.585,-0.374,0.1495,True
200,151,0.7537,0.7341,-0.585,-0.375,0.1497,True
205,154,0.6874,0.6517,-0.677,-0.178,0.1535,True
205,153,0.6879,0.6547,-0.677,-0.178,0.1533,True
210,157,0.6937,0.6221,-0.498,-0.13,0.1906,True
210,156,0.6867,0.6094,-0.498,-0.129,0.1907,True
215,162,0.6779,0.6005,0.064,0.125,-0.0193,True
215,161,0.674,0.5993,0.063,0.123,-0.0199,False
220,166,0.6042,0.5738,-0.075,0.543,-0.0857,False
220,167,0.6038,0.5761,-0.075,0.541,-0.0859,False
225,186,0.7477,0.7134,0.03,0.779,-0.1054,True
225,187,0.7501,0.7127,0.03,0.781,-0.1036,True
230,131,0.6383,0.627,-0.101,0.874,-0.1049,True
230,130,0.6365,0.6244,0.077,0.893,-0.1089,True
235,126,0.6257,0.5896,0.244,1.029,-0.1082,False
235,127,0.6301,0.5844,0.241,1.028,-0.1088,False
240,123,0.6694,0.6597,0.24,1.18,-0.1407,True
240,124,0.6677,0.6573,0.241,1.17,-0.143,True
245,115,0.7331,0.6772,-0.204,-0.1,-0.0138,True
245,116,0.7555,0.7008,-0.218,-0.089,0.0078,True
250,111,0.8189,0.7599,-0.726,-0.188,0.1333,True
250,110,0.8012,0.7522,-0.712,-0.184,0.1318,True
255,110,0.8293,0.7008,-0.719,-0.329,0.0708,True
255,66,0.8321,0.8085,-0.765,-0.242,0.1288,True
260,111,0.7963,0.72,-0.985,-0.38,0.0888,True
260,112,0.7934,0.7258,-0.988,-0.376,0.091,True
265,110,0.8563,0.8167,-1.152,-0.339,0.112,True
265,111,0.8654,0.8012,-1.135,-0.343,0.0996,True
