query,cand,coarse,refined,dx,dy,dth,accepted
270,110,0.8493,0.8288,-1.236,-0.398,0.1043,True
270,109,0.8599,0.8302,-1.213,-0.41,0.0854,True
275,94,0.8928,0.8399,-0.042,-0.073,0.0165,True
275,95,0.8873,0.8413,-0.043,-0.073,0.0205,True
280,99,0.8897,0.8282,0.131,-0.231,0.0254,True
280,95,0.8904,0.8601,0.1,-0.224,0.0357,True
285,101,0.8719,0.8471,0.135,-0.258,-0.0406,True
285,102,0.8705,0.8472,0.137,-0.256,-0.0403,True
290,88,0.8199,0.81,0.05,-0.047,-0.0334,True
290,89,0.8239,0.8321,0.054,-0.044,-0.0395,True
295,88,0.7304,0.7153,0.0,0.246,-0.0758,True
295,89,0.7321,0.7103,0.002,0.244,-0.0761,True
300,88,0.5018,0.4883,5.994,1.225,0.2606,False
300,269,0.4922,0.4886,5.957,1.211,0.2438,False
305,88,0.6258,0.6048,-0.43,-0.251,0.0469,True
305,269,0.6257,0.6047,-0.43,-0.251,0.0469,True
310,88,0.55,0.5438,5.877,-1.99,-0.277,False
310,269,0.5496,0.5416,5.879,-1.991,-0.2751,False
315,88,0.5477,0.5463,-0.71,-0.35,0.0019,False
315,269,0.5482,0.5486,-0.711,-0.347,0.0017,False
320,88,0.6202,0.6156,-0.622,-0.461,-0.004,True
320,269,0.6207,0.6142,-0.623,-0.461,-0.0051,True
325,295,0.5235,0.5249,-0.466,-0.65,0.0044,False
325,294,0.5339,0.5152,-0.472,-0.642,0.0122,False
330,299,0.6477,0.6073,-0.215,-0.52,-0.0009,True
330,300,0.6448,0.6325,-0.211,-0.509,-0.0019,True
335,299,0.7773,0.7516,-0.116,-0.052,0.0362,True
335,300,0.7812,0.7521,-0.115,-0.053,0.036,True
340,295,0.8092,0.7937,-0.304,0.043,0.0752,True
340,294,0.8093,0.803,-0.311,0.038,0.0742,True
345,299,0.7581,0.722,-0.487,0.073,0.0118,True
345,300,0.7635,0.712,-0.491,0.076,0.0127,True
350,302,0.7036,0.6914,-0.565,0.152,0.0389,True
350,301,0.7019,0.6911,-0.566,0.152,0.0397,True
355,325,0.6466,0.6219,0.378,1.568,-0.0312,True
355,324,0.6467,0.622,0.378,1.568,-0.0312,True
360,326,0.7511,0.7358,5.117,1.779,0.0961,False
360,325,0.7511,0.7358,5.117,1.779,0.0961,False
365,6,0.5654,0.5672,0.638,0.606,-0.0537,False
365,10,0.5654,0.5672,0.638,0.606,-0.0537,False
370,10,0.681,0.5271,0.771,0.533,-0.0314,False
370,6,0.6797,0.5317,0.774,0.534,-0.0284,False
375,10,0.7607,0.5842,1.382,0.675,-0.0307,False
375,6,0.7543,0.5777,1.388,0.673,-0.0266,False
380,10,0.8055,0.6005,1.513,0.779,-0.0299,True
380,6,0.7993,0.6002,1.512,0.779,-0.0302,True
