kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
124,1782485107.302111,6.2331,0.7076,0.04194,lidar,native_s2s,icp,proximity,0.762
125,1782485107.933465,6.5198,0.7462,-0.08353,lidar,native_s2s,icp,proximity,0.8188
126,1782485108.563862,6.7852,0.7433,-0.17955,lidar,native_s2s,icp,proximity,0.8832
127,1782485109.195562,7.0407,0.7158,-0.27884,lidar,native_s2s,icp,proximity,0.8938
128,1782485109.82696,7.3068,0.7114,-0.13137,lidar,native_s2s,icp,proximity,0.88
129,1782485110.450483,7.5747,0.7065,-0.13405,lidar,native_s2s,icp,proximity,0.8874
130,1782485111.078835,7.8444,0.7274,-0.08081,lidar,native_s2s,icp,proximity,0.8996
131,1782485111.705197,8.1078,0.7871,0.0817,lidar,native_s2s,icp,proximity,0.89
132,1782485112.444068,8.3628,0.7865,0.22746,lidar,native_s2s,icp,proximity,0.8548
133,1782485114.528618,8.3749,0.7354,0.22633,lidar,native_s2s,icp,proximity,0.9747
134,1782485116.528905,8.3716,0.6955,0.22851,lidar,native_s2s,icp,proximity,0.9789
135,1782485118.618679,8.3689,0.6639,0.23219,lidar,native_s2s,icp,proximity,0.97
136,1782485120.715216,8.3612,0.6285,0.23312,lidar,native_s2s,icp,proximity,0.9483
137,1782485122.809858,8.3568,0.5829,0.23644,lidar,native_s2s,icp,proximity,0.9627
138,1782485124.909427,8.2916,0.5249,0.23964,lidar,native_s2s,icp,proximity,0.9711
139,1782485126.275168,8.5837,0.577,0.11747,lidar,native_s2s,icp,proximity,0.8631
140,1782485127.006218,8.8465,0.5825,-0.00854,lidar,native_s2s,icp,proximity,0.8497
141,1782485127.736087,9.136,0.5792,-0.03956,lidar,native_s2s,icp,proximity,0.8527
142,1782485128.369373,9.415,0.5778,-0.03115,lidar,native_s2s,icp,proximity,0.8473
143,1782485128.993312,9.6746,0.6031,0.09432,lidar,native_s2s,icp,proximity,0.792
144,1782485129.621776,9.9339,0.6054,-0.02325,lidar,native_s2s,icp,proximity,0.7119
145,1782485130.347742,10.2288,0.6019,-0.02876,lidar,native_s2s,icp,proximity,0.7555
146,1782485130.970361,10.4909,0.6055,-0.05132,lidar,native_s2s,icp,proximity,0.7521
147,1782485131.592899,10.7705,0.5767,-0.05846,lidar,native_s2s,icp,proximity,0.7799
148,1782485132.216489,11.0485,0.5647,-0.05813,lidar,native_s2s,icp,proximity,0.7962
149,1782485132.836721,11.3209,0.5534,-0.08483,lidar,native_s2s,icp,proximity,0.8453
150,1782485133.563792,11.6023,0.4944,-0.32073,lidar,native_s2s,icp,proximity,0.7562
151,1782485134.190995,11.8131,0.3703,-0.53314,lidar,native_s2s,icp,proximity,0.8589
152,1782485134.91186,12.0397,0.194,-0.68064,lidar,native_s2s,icp,proximity,0.825
153,1782485135.647451,12.2359,-0.0085,-0.80085,lidar,native_s2s,icp,proximity,0.7334
154,1782485136.065115,12.3211,-0.1484,-1.01612,lidar,native_s2s,icp,proximity,0.8011
155,1782485136.692849,12.4432,-0.3783,-1.10847,lidar,native_s2s,icp,proximity,0.7935
156,1782485137.428837,12.5453,-0.6485,-1.28191,lidar,native_s2s,icp,proximity,0.797
157,1782485138.052866,12.5871,-0.9029,-1.50817,lidar,native_s2s,icp,proximity,0.7859
158,1782485138.678478,12.5879,-1.1733,-1.63698,lidar,native_s2s,icp,proximity,0.8555
159,1782485139.308846,12.5521,-1.4384,-1.77177,lidar,native_s2s,icp,proximity,0.8366
160,1782485139.835882,12.526,-1.6879,-1.74632,lidar,native_s2s,icp,proximity,0.8213
161,1782485140.565724,12.5415,-1.976,-1.58215,lidar,native_s2s,icp,proximity,0.8429
162,1782485140.981718,12.5825,-2.122,-1.35039,lidar,native_s2s,icp,proximity,0.839
163,1782485141.396728,12.6525,-2.2465,-1.11007,lidar,native_s2s,icp,proximity,0.8356
164,1782485141.814626,12.7635,-2.3771,-0.84692,lidar,native_s2s,icp,proximity,0.7792
165,1782485142.129221,12.8823,-2.4602,-0.62832,lidar,native_s2s,icp,proximity,0.8256
166,1782485142.44668,13.0096,-2.5109,-0.40221,lidar,native_s2s,icp,proximity,0.8565
167,1782485142.753741,13.1304,-2.5281,-0.18992,lidar,native_s2s,icp,proximity,0.8062
168,1782485143.17012,13.2967,-2.4964,0.08854,lidar,native_s2s,icp,proximity,0.8367
169,1782485143.586145,13.4434,-2.4268,0.36181,lidar,native_s2s,icp,proximity,0.801
170,1782485144.002273,13.558,-2.3401,0.63753,lidar,native_s2s,icp,proximity,0.7965
171,1782485145.562803,13.6529,-2.2474,0.87674,lidar,native_s2s,icp,proximity,0.8667
172,1782485146.08038,13.692,-2.1185,1.1143,lidar,native_s2s,icp,proximity,0.8389
173,1782485146.504006,13.6926,-2.0046,1.32539,lidar,native_s2s,icp,proximity,0.767
174,1782485147.024646,13.6654,-1.8757,1.57048,lidar,native_s2s,icp,proximity,0.8387
175,1782485147.547703,13.6008,-1.7336,1.82779,lidar,native_s2s,icp,proximity,0.6962
176,1782485147.965585,13.6258,-1.4045,2.04538,lidar,native_s2s,icp,proximity,0.6737
177,1782485148.698702,13.44,-1.2005,2.04444,lidar,native_s2s,icp,proximity,0.69
178,1782485149.330066,13.3215,-0.9777,1.82052,lidar,native_s2s,icp,proximity,0.7332
