combo,keyframes,proposed,accepted,true_acc,false_acc,true_rej,precision,recall,rt_lag_s,late_pct,kf_ms,rss_gb,payload_mb,sharpness,drift_m,reinits,fallbacks
lidar_s2s_bnb,382,110,69,48,20,16,0.706,0.75,0.0,6.1,4.21,0.21,1.7,0.532,0.698,0,1
lidar_s2s_icp,382,110,69,42,26,14,0.618,0.75,0.0,5.9,3.79,0.21,1.7,0.526,0.406,0,1
lidar_s2m_bnb,368,104,76,48,25,9,0.658,0.842,0.0,9.5,6.4,0.18,1.6,0.629,0.135,0,75
lidar_s2m_icp,368,104,85,49,33,6,0.598,0.891,0.0,10.6,7.05,0.19,1.6,0.626,0.275,0,75
lidar_orb_s2s,382,110,29,29,0,29,1.0,0.5,0.0,7.7,5.07,0.35,22.9,0.535,0.467,0,1
lidar_orb_s2m,368,103,24,22,0,29,1.0,0.431,0.0,11.0,7.37,0.32,21.4,0.627,0.131,0,75
orb_lidar_bnb,647,47,40,40,0,7,1.0,0.851,0.0,17.0,17.81,0.75,11.3,0.575,0.572,104,0
orb_lidar_icp,647,47,40,40,0,7,1.0,0.851,0.0,17.0,17.67,0.75,11.3,0.575,1.113,104,0
orb,647,47,31,31,0,16,1.0,0.66,0.0,16.9,17.7,0.75,11.3,0.579,0.626,104,0
