pair_id,t_query,t_cand,n_runs,ever_accepted
138,1782485219.249,1782485067.810,3,0
139,1782485220.376,1782485197.263,3,1
140,1782485220.376,1782485197.673,3,1
141,1782485220.897,1782485196.953,3,1
142,1782485220.897,1782485197.465,3,1
143,1782485222.779,1782485194.556,1,1
144,1782485222.779,1782485195.177,1,1
145,1782485222.779,1782485197.263,2,1
146,1782485222.779,1782485197.673,2,1
147,1782485223.498,1782485195.492,2,1
148,1782485223.498,1782485196.222,2,1
149,1782485223.498,1782485196.953,1,1
150,1782485223.498,1782485197.465,1,1
151,1782485226.200,1782485197.673,1,1
152,1782485226.200,1782485198.091,3,2
153,1782485226.200,1782485198.837,2,1
154,1782485227.131,1782485196.953,1,0
155,1782485227.131,1782485197.465,1,0
156,1782485227.131,1782485198.302,2,0
157,1782485227.131,1782485199.037,2,1
158,1782485233.805,1782485199.248,3,1
159,1782485233.805,1782485200.078,3,1
160,1782485235.055,1782485198.302,1,0
161,1782485235.055,1782485199.037,1,0
162,1782485235.055,1782485199.870,1,0
163,1782485235.055,1782485200.704,2,1
164,1782485235.055,1782485201.537,1,1
165,1782485237.877,1782485204.448,1,1
166,1782485237.877,1782485205.075,3,2
167,1782485237.877,1782485205.695,2,1
168,1782485238.611,1782485202.890,1,0
169,1782485238.611,1782485203.410,1,0
170,1782485238.611,1782485205.591,2,2
171,1782485238.611,1782485206.318,2,2
172,1782485240.812,1782485207.774,3,3
173,1782485240.812,1782485208.182,3,3
174,1782485241.430,1782485206.318,1,0
175,1782485241.430,1782485207.040,1,0
176,1782485241.430,1782485209.011,2,2
177,1782485241.430,1782485209.327,2,2
178,1782485241.870,1782485209.310,3,2
179,1782485242.891,1782485209.947,3,2
180,1782485242.891,1782485210.574,3,2
181,1782485243.519,1782485210.782,3,2
182,1782485243.519,1782485211.511,3,2
183,1782485245.504,1782485214.531,3,3
184,1782485245.504,1782485214.944,3,2
185,1782485246.131,1782485214.634,2,2
186,1782485246.131,1782485215.048,2,2
187,1782485246.131,1782485215.678,1,0
188,1782485246.131,1782485216.193,1,0
189,1782485248.948,1782485198.837,3,2
190,1782485248.948,1782485224.849,3,2
191,1782485249.267,1782485226.299,3,2
192,1782485249.267,1782485227.131,3,2
193,1782485253.721,1782485195.905,1,1
194,1782485253.721,1782485196.635,3,2
195,1782485253.721,1782485197.263,2,1
196,1782485254.237,1782485193.935,1,0
197,1782485254.237,1782485194.765,1,0
198,1782485254.237,1782485195.492,1,1
199,1782485254.237,1782485196.222,2,2
200,1782485254.237,1782485196.953,1,1
201,1782485261.310,1782485194.556,3,2
202,1782485261.310,1782485195.177,3,2
203,1782485261.832,1782485192.157,1,0
204,1782485261.832,1782485192.789,1,0
205,1782485261.832,1782485193.417,2,2
206,1782485261.832,1782485193.935,2,2
207,1782485264.649,1782485191.524,3,2
208,1782485264.649,1782485191.942,3,2
209,1782485265.162,1782485190.588,3,2
210,1782485265.162,1782485191.317,3,1
211,1782485268.081,1782485188.393,3,2
212,1782485268.081,1782485188.923,3,2
213,1782485268.816,1782485183.714,1,0
214,1782485268.816,1782485184.335,1,0
215,1782485268.816,1782485186.202,1,1
216,1782485268.816,1782485187.247,2,2
217,1782485268.816,1782485187.975,1,1
218,1782485271.124,1782485185.059,3,2
219,1782485271.124,1782485185.685,3,2
220,1782485272.174,1782485181.836,1,0
221,1782485272.174,1782485182.466,1,0
222,1782485272.174,1782485184.335,2,2
223,1782485272.174,1782485184.956,2,2
224,1782485274.677,1782485181.948,3,2
225,1782485274.677,1782485182.565,3,2
226,1782485275.925,1782485170.474,1,0
227,1782485275.925,1782485174.235,1,0
228,1782485275.925,1782485181.106,1,1
229,1782485275.925,1782485181.836,2,2
230,1782485275.925,1782485182.466,1,1
231,1782485277.589,1782485164.529,3,2
232,1782485277.589,1782485179.758,3,2
233,1782485277.960,1782485066.678,3,0
234,1782485277.960,1782485067.611,3,0
235,1782485278.945,1782485163.705,2,2
236,1782485278.945,1782485164.011,2,2
237,1782485278.945,1782485165.888,1,0
238,1782485278.945,1782485167.764,1,0
239,1782485279.227,1782485161.207,3,2
240,1782485279.227,1782485163.276,3,2
241,1782485279.895,1782485163.276,3,2
242,1782485280.563,1782485161.942,3,2
243,1782485280.563,1782485162.609,3,2
244,1782485281.031,1782485161.541,3,2
245,1782485281.031,1782485161.742,3,2
246,1782485281.446,1782485163.488,3,2
247,1782485281.446,1782485163.906,3,2
248,1782485281.631,1782485160.275,3,3
249,1782485281.631,1782485164.275,3,3
250,1782485282.297,1782485163.942,3,1
251,1782485282.297,1782485165.275,3,2
252,1782485282.386,1782485164.426,2,2
253,1782485282.386,1782485164.945,2,2
254,1782485282.386,1782485168.183,1,0
255,1782485282.386,1782485168.501,1,0
256,1782485282.497,1782485165.275,3,2
257,1782485282.497,1782485165.475,3,2
258,1782485283.298,1782485165.275,3,2
259,1782485283.298,1782485165.475,3,2
260,1782485283.527,1782485158.589,1,1
261,1782485283.527,1782485165.989,2,1
262,1782485283.527,1782485176.741,3,2
263,1782485285.093,1782485157.660,1,0
264,1782485285.093,1782485165.888,2,2
265,1782485285.093,1782485167.243,1,1
266,1782485285.093,1782485167.764,1,1
267,1782485285.093,1782485176.741,1,1
268,1782485286.869,1782485175.382,3,2
269,1782485286.869,1782485175.797,3,2
270,1782485287.489,1782485169.848,2,1
271,1782485287.489,1782485174.863,3,2
272,1782485287.489,1782485175.382,1,1
273,1782485289.241,1782485173.354,3,2
274,1782485289.770,1782485171.210,3,2
275,1782485289.770,1782485171.943,3,3
276,1782485291.243,1782485173.354,3,1
277,1782485292.276,1782485170.474,3,2
278,1782485292.276,1782485174.235,3,2
279,1782485295.296,1782485174.863,3,2
280,1782485295.296,1782485175.382,3,2
281,1782485295.921,1782485179.552,3,2
282,1782485295.921,1782485180.382,2,2
283,1782485295.921,1782485275.925,1,0
284,1782485297.699,1782485160.682,2,1
285,1782485297.699,1782485163.906,3,2
286,1782485297.699,1782485164.529,1,1
287,1782485299.780,1782485178.720,3,2
288,1782485299.780,1782485179.552,2,2
289,1782485299.780,1782485276.652,1,0
290,1782485300.611,1782485175.797,2,2
291,1782485300.611,1782485178.096,1,0
292,1782485300.611,1782485178.923,3,2
293,1782485302.889,1782485168.183,2,2
294,1782485302.889,1782485168.501,3,2
295,1782485302.889,1782485169.224,1,0
296,1782485304.343,1782485156.838,1,1
297,1782485304.343,1782485157.448,3,2
298,1782485304.343,1782485157.974,2,1
299,1782485306.417,1782485155.164,1,1
300,1782485306.417,1782485155.791,2,2
301,1782485306.417,1782485156.416,2,1
302,1782485306.417,1782485157.038,1,0
303,1782485307.766,1782485154.440,3,2
304,1782485307.766,1782485154.960,3,2
305,1782485309.533,1782485152.052,2,2
306,1782485309.533,1782485152.771,3,2
307,1782485309.533,1782485153.086,1,0
308,1782485310.369,1782485150.061,1,0
309,1782485310.369,1782485150.694,2,1
310,1782485310.369,1782485151.316,2,2
311,1782485310.369,1782485151.630,1,1
312,1782485312.567,1782485147.966,1,0
313,1782485312.567,1782485148.699,1,0
314,1782485312.567,1782485149.330,2,2
315,1782485312.567,1782485150.061,2,2
316,1782485313.295,1782485147.548,1,0
317,1782485313.295,1782485148.284,3,2
318,1782485313.295,1782485148.908,2,2
319,1782485314.855,1782485139.309,1,1
320,1782485314.855,1782485139.836,1,1
321,1782485314.855,1782485147.025,1,0
322,1782485314.855,1782485147.548,1,0
323,1782485314.855,1782485148.699,1,1
324,1782485314.855,1782485149.330,1,1
325,1782485315.270,1782485139.309,2,2
326,1782485315.270,1782485139.943,2,2
327,1782485315.270,1782485144.002,1,0
328,1782485315.270,1782485145.563,1,0
329,1782485317.357,1782485138.053,1,1
330,1782485317.357,1782485138.678,2,2
331,1782485317.357,1782485139.309,2,1
332,1782485317.357,1782485139.836,1,0
333,1782485317.772,1782485138.678,2,2
334,1782485317.772,1782485139.309,3,2
335,1782485317.772,1782485139.943,1,0
336,1782485320.265,1782485135.647,2,2
337,1782485320.265,1782485136.065,3,2
338,1782485320.265,1782485136.693,1,0
339,1782485320.893,1782485135.540,2,2
340,1782485320.893,1782485135.961,3,2
341,1782485320.893,1782485136.693,1,0
342,1782485322.987,1782485132.837,3,2
343,1782485322.987,1782485133.564,3,2
344,1782485323.820,1782485132.320,2,2
345,1782485323.820,1782485132.945,3,2
346,1782485323.820,1782485133.564,1,0
347,1782485326.632,1782485130.348,3,2
348,1782485326.632,1782485130.970,3,1
349,1782485328.289,1782485129.307,2,2
350,1782485328.289,1782485129.937,3,2
351,1782485328.289,1782485130.555,1,0
352,1782485331.818,1782485126.275,1,0
353,1782485331.818,1782485127.006,3,2
354,1782485331.818,1782485127.736,2,2
355,1782485331.921,1782485126.164,1,1
356,1782485331.921,1782485126.898,3,2
357,1782485331.921,1782485127.529,2,1
358,1782485335.564,1782485110.141,3,2
359,1782485335.564,1782485110.765,3,2
360,1782485335.772,1782485109.827,2,0
361,1782485335.772,1782485110.450,3,1
362,1782485335.772,1782485111.079,1,1
363,1782485338.900,1782485106.668,3,2
364,1782485338.900,1782485107.302,3,2
365,1782485339.103,1782485106.668,2,1
366,1782485339.103,1782485107.302,3,2
367,1782485339.103,1782485107.933,1,0
368,1782485341.700,1782485101.169,2,2
369,1782485341.700,1782485102.427,2,2
370,1782485341.700,1782485103.570,1,0
371,1782485341.700,1782485105.942,1,0
372,1782485342.338,1782485103.098,3,1
373,1782485342.525,1782485105.942,1,1
374,1782485342.525,1782485106.668,2,1
375,1782485342.525,1782485107.302,2,1
376,1782485342.525,1782485107.933,1,1
377,1782485343.777,1782485106.668,3,2
378,1782485343.777,1782485107.302,3,2
379,1782485345.339,1782485105.942,3,2
380,1782485345.339,1782485106.668,3,2
381,1782485347.628,1782485096.992,2,1
382,1782485347.628,1782485097.618,3,2
383,1782485347.628,1782485098.243,1,1
384,1782485348.569,1782485096.776,1,1
385,1782485348.569,1782485097.308,2,1
386,1782485348.569,1782485097.928,2,1
387,1782485348.569,1782485098.555,1,0
388,1782485350.485,1782485063.742,3,1
389,1782485350.560,1782485062.579,2,2
390,1782485350.560,1782485063.205,2,2
391,1782485350.560,1782485063.837,1,0
392,1782485350.560,1782485064.466,1,0
393,1782485350.685,1782485060.609,3,1
394,1782485350.685,1782485141.000,3,0
395,1782485351.497,1782485062.996,2,2
396,1782485351.497,1782485063.624,1,0
397,1782485351.497,1782485064.253,1,0
398,1782485351.497,1782485092.496,1,1
399,1782485351.497,1782485092.915,1,1
400,1782485353.483,1782485140.800,3,0
401,1782485353.483,1782485141.267,3,0
402,1782485353.575,1782485065.094,1,1
403,1782485353.575,1782485065.723,2,2
404,1782485353.575,1782485085.106,1,0
405,1782485353.575,1782485087.199,2,1
406,1782485354.822,1782485065.940,1,0
407,1782485354.822,1782485085.939,3,2
408,1782485354.822,1782485087.095,2,2
409,1782485355.082,1782485066.478,3,1
410,1782485355.082,1782485067.611,3,1
411,1782485355.882,1782485066.678,3,1
412,1782485356.281,1782485068.010,3,1
413,1782485356.281,1782485083.886,3,1
414,1782485356.796,1782485067.503,2,2
415,1782485356.796,1782485083.956,3,2
416,1782485356.796,1782485084.582,1,0
417,1782485357.347,1782485068.010,3,1
418,1782485357.347,1782485083.220,3,2
419,1782485358.013,1782485069.342,3,2
420,1782485358.013,1782485083.220,3,2
421,1782485358.360,1782485066.984,1,1
422,1782485358.360,1782485067.612,1,1
423,1782485358.360,1782485068.746,1,1
424,1782485358.360,1782485083.229,1,1
425,1782485358.360,1782485085.939,1,1
426,1782485358.360,1782485087.095,1,0
427,1782485358.682,1782485083.220,3,2
428,1782485359.353,1782485070.009,3,2
429,1782485359.353,1782485081.888,3,2
430,1782485360.020,1782485071.346,3,2
431,1782485360.020,1782485081.222,3,2
432,1782485360.123,1782485070.419,2,2
433,1782485360.123,1782485081.163,2,2
434,1782485360.123,1782485081.681,1,1
435,1782485360.123,1782485082.295,1,1
436,1782485360.686,1782485081.222,3,2
437,1782485361.285,1782485072.014,3,2
438,1782485361.285,1782485073.079,3,2
439,1782485361.482,1782485070.528,1,1
440,1782485361.482,1782485071.152,1,1
441,1782485361.482,1782485071.780,1,1
442,1782485361.482,1782485072.100,1,1
443,1782485361.482,1782485072.422,1,0
444,1782485361.482,1782485073.052,1,0
445,1782485361.485,1782485072.213,3,2
446,1782485362.285,1782485072.213,3,2
447,1782485362.285,1782485078.687,3,2
