pair_id,t_query,t_cand,n_runs,ever_accepted
138,1782491882.065,1782491819.977,2,2
139,1782491882.065,1782491820.606,2,2
140,1782491882.065,1782491821.957,1,1
141,1782491882.165,1782491819.244,3,2
142,1782491882.165,1782491820.292,3,2
143,1782491882.165,1782491821.645,3,2
144,1782491886.831,1782491814.554,1,0
145,1782491886.831,1782491817.678,1,0
146,1782491886.831,1782491819.035,2,1
147,1782491886.831,1782491819.977,2,1
148,1782491886.831,1782491820.606,2,1
149,1782491886.831,1782491821.957,1,0
150,1782491887.246,1782491819.244,3,1
151,1782491887.246,1782491820.292,3,1
152,1782491887.246,1782491821.645,3,1
153,1782491890.463,1782491819.035,1,0
154,1782491890.463,1782491819.977,2,0
155,1782491890.463,1782491820.606,3,0
156,1782491890.463,1782491821.957,2,0
157,1782491890.463,1782491822.898,1,0
158,1782491891.401,1782491821.645,3,0
159,1782491891.401,1782491822.792,3,0
160,1782491891.401,1782491824.878,3,0
161,1782491894.429,1782491819.035,1,0
162,1782491894.429,1782491819.977,1,0
163,1782491894.429,1782491820.606,3,0
164,1782491894.429,1782491821.957,2,0
165,1782491894.429,1782491822.898,2,0
166,1782491895.790,1782491821.645,3,0
167,1782491895.790,1782491822.792,3,0
168,1782491895.790,1782491824.878,3,0
169,1782491899.333,1782491819.977,1,0
170,1782491899.333,1782491820.606,2,0
171,1782491899.333,1782491821.957,3,0
172,1782491899.333,1782491822.898,2,0
173,1782491899.333,1782491824.979,1,0
174,1782491901.225,1782491822.792,3,0
175,1782491901.225,1782491824.878,3,0
176,1782491901.225,1782491826.842,3,0
177,1782491903.703,1782491821.957,1,0
178,1782491903.703,1782491822.898,2,0
179,1782491905.359,1782491822.792,2,0
180,1782491905.359,1782491824.878,2,0
181,1782491905.359,1782491826.842,1,0
182,1782491932.419,1782491825.867,3,0
183,1782491936.724,1782491909.184,3,0
184,1782491940.361,1782491910.942,3,0
185,1782491940.361,1782491911.252,3,0
186,1782491940.361,1782491913.015,3,0
187,1782491940.361,1782491913.335,3,0
188,1782491940.361,1782491915.093,3,0
189,1782491940.361,1782491915.404,3,0
190,1782491946.529,1782491911.252,3,0
191,1782491946.529,1782491913.335,3,0
192,1782491946.529,1782491915.404,3,0
193,1782491946.633,1782491910.942,3,0
194,1782491946.633,1782491913.015,3,0
195,1782491946.633,1782491915.093,3,0
196,1782491951.322,1782491911.252,3,0
197,1782491951.322,1782491913.335,3,0
198,1782491951.322,1782491915.404,3,0
199,1782491951.532,1782491910.942,3,0
200,1782491951.532,1782491913.015,3,0
201,1782491951.532,1782491915.093,3,0
202,1782491956.448,1782491911.252,3,2
203,1782491956.448,1782491919.134,3,2
204,1782491956.448,1782491920.074,3,2
205,1782491956.651,1782491915.093,3,0
206,1782491956.651,1782491917.166,3,0
207,1782491956.651,1782491919.236,3,0
208,1782491960.912,1782491921.217,3,2
209,1782491960.912,1782491922.046,3,2
210,1782491960.912,1782491923.296,3,2
211,1782491960.912,1782491924.131,3,2
212,1782491960.912,1782491925.273,3,2
213,1782491960.912,1782491925.380,3,2
214,1782491964.768,1782491927.248,3,2
215,1782491964.768,1782491928.603,3,2
216,1782491964.768,1782491929.858,3,2
217,1782491964.868,1782491927.248,3,2
218,1782491964.868,1782491928.499,3,2
219,1782491964.868,1782491929.754,3,2
220,1782491968.824,1782491928.603,1,0
221,1782491968.824,1782491929.858,3,2
222,1782491968.824,1782491931.108,3,2
223,1782491968.824,1782491932.265,2,2
224,1782491968.933,1782491931.108,3,2
225,1782491968.933,1782491932.265,3,2
226,1782491968.933,1782491933.402,3,2
227,1782491972.673,1782491929.858,1,0
228,1782491972.673,1782491931.108,1,0
229,1782491972.673,1782491932.265,3,1
230,1782491972.673,1782491933.402,2,1
231,1782491972.673,1782491934.445,2,1
232,1782491973.196,1782491933.402,3,1
233,1782491973.196,1782491934.445,3,1
234,1782491973.196,1782491935.587,3,1
235,1782491976.538,1782491932.265,1,0
236,1782491976.538,1782491933.402,1,0
237,1782491976.538,1782491934.445,3,1
238,1782491976.538,1782491935.587,2,1
239,1782491976.538,1782491936.724,2,1
240,1782491977.378,1782491934.445,3,1
241,1782491977.378,1782491935.587,3,1
242,1782491977.378,1782491936.724,3,1
243,1782491980.409,1782491934.445,1,0
244,1782491980.409,1782491935.587,3,0
245,1782491980.409,1782491936.724,3,0
246,1782491980.409,1782491937.865,2,0
247,1782491981.133,1782491935.587,3,0
248,1782491981.133,1782491936.724,3,0
249,1782491981.133,1782491937.865,3,0
250,1782491985.109,1782491935.587,1,0
251,1782491985.109,1782491936.724,3,0
252,1782491985.109,1782491937.865,3,0
253,1782491985.109,1782491938.591,2,0
254,1782491987.099,1782491936.724,3,0
255,1782491987.099,1782491937.865,3,0
256,1782491987.099,1782491938.591,3,0
257,1782491992.808,1782491936.724,2,0
258,1782491992.808,1782491937.865,3,0
259,1782491992.808,1782491938.591,3,0
260,1782491992.808,1782491939.215,1,0
261,1782491993.754,1782491937.865,3,0
262,1782491993.754,1782491938.591,3,0
263,1782491993.754,1782491939.215,3,0
264,1782491999.178,1782491936.724,1,0
265,1782491999.178,1782491937.865,3,0
266,1782491999.178,1782491938.591,3,0
267,1782491999.178,1782491939.215,2,0
268,1782492000.325,1782491936.724,3,0
269,1782492000.325,1782491937.865,3,0
270,1782492000.325,1782491938.591,3,0
271,1782492002.206,1782491935.587,1,0
272,1782492002.206,1782491936.724,3,0
273,1782492002.206,1782491937.865,3,0
274,1782492002.206,1782491938.591,2,0
275,1782492002.628,1782491936.724,3,0
276,1782492002.628,1782491937.865,3,0
277,1782492002.628,1782491938.591,3,0
278,1782492005.333,1782491934.445,1,0
279,1782492005.333,1782491935.587,1,0
280,1782492005.333,1782491936.724,3,1
281,1782492005.333,1782491937.865,2,1
282,1782492005.333,1782491968.824,2,1
283,1782492007.109,1782491936.724,3,1
284,1782492007.109,1782491967.577,3,1
285,1782492007.109,1782491968.933,3,1
286,1782492010.649,1782491971.840,3,2
287,1782492010.649,1782491972.673,3,2
288,1782492010.649,1782491985.109,3,2
289,1782492011.384,1782491973.196,3,1
290,1782492011.384,1782491985.005,3,1
291,1782492011.384,1782491987.099,3,1
292,1782492013.946,1782491933.750,3,0
293,1782492014.186,1782491976.538,3,2
294,1782492014.186,1782491985.109,3,2
295,1782492014.186,1782491987.204,3,2
296,1782492016.564,1782491977.378,3,1
297,1782492016.564,1782491985.005,3,1
298,1782492016.564,1782491987.099,3,1
299,1782492017.282,1782491961.836,3,0
300,1782492019.171,1782491978.519,1,0
301,1782492019.171,1782491979.461,1,0
302,1782492019.171,1782491980.409,3,2
303,1782492019.171,1782491985.109,2,2
304,1782492019.171,1782491987.204,2,2
305,1782492019.949,1782492002.534,3,0
306,1782492020.003,1782491981.133,3,2
307,1782492020.003,1782491985.005,3,2
308,1782492020.003,1782491987.099,3,2
309,1782492021.048,1782491978.519,1,0
310,1782492021.048,1782491979.461,1,0
311,1782492021.048,1782491980.409,3,2
312,1782492021.048,1782491981.343,2,2
313,1782492021.048,1782491982.181,2,2
314,1782492024.597,1782491981.972,3,2
315,1782492024.597,1782491982.915,3,2
316,1782492024.597,1782491987.099,3,2
317,1782492027.108,1782491981.343,1,0
318,1782492027.108,1782491982.181,1,0
319,1782492027.108,1782491983.020,3,2
320,1782492027.108,1782491985.109,2,2
321,1782492027.108,1782491987.204,2,2
322,1782492029.303,1782491987.099,3,1
323,1782492029.303,1782491989.178,3,1
324,1782492029.303,1782491991.039,3,1
325,1782492031.186,1782491985.109,1,0
326,1782492031.186,1782491987.204,1,0
327,1782492031.186,1782491991.142,3,0
328,1782492031.186,1782491992.808,2,0
329,1782492031.186,1782492000.849,2,0
330,1782492033.484,1782492000.325,3,0
331,1782492033.484,1782492000.849,3,0
332,1782492033.484,1782492001.791,3,0
333,1782492035.159,1782491985.109,1,0
334,1782492035.159,1782491991.142,1,0
335,1782492035.159,1782491992.808,3,0
336,1782492035.159,1782491993.958,1,0
337,1782492035.159,1782492000.849,2,0
338,1782492035.159,1782492001.791,1,0
339,1782492037.882,1782492000.325,3,0
340,1782492037.882,1782492000.849,3,0
341,1782492037.882,1782492001.791,3,0
342,1782492039.451,1782491991.142,1,0
343,1782492039.451,1782491992.808,2,0
344,1782492039.451,1782491993.958,3,0
345,1782492039.451,1782491995.316,1,0
346,1782492039.451,1782491999.178,1,0
347,1782492039.451,1782492000.849,1,0
348,1782492041.945,1782491999.281,3,0
349,1782492041.945,1782492000.325,3,0
350,1782492041.945,1782492000.849,3,0
351,1782492043.819,1782491992.808,1,0
352,1782492043.819,1782491993.958,2,0
353,1782492043.819,1782491995.316,3,0
354,1782492043.819,1782491997.403,1,0
355,1782492043.819,1782491999.178,2,0
356,1782492045.909,1782491995.210,3,0
357,1782492045.909,1782491997.299,3,0
358,1782492045.909,1782491999.281,3,0
359,1782492048.214,1782491992.808,1,0
360,1782492048.214,1782491993.958,1,0
361,1782492048.214,1782491995.316,1,0
362,1782492078.004,1782492043.819,3,0
