kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
65,1781020274.792362,10.709,0.4644,-1.4801,lidar,native_s2m,icp,proximity,0.9121
66,1781020275.932722,10.7535,0.196,-1.47871,lidar,native_s2m,icp,proximity,0.9009
67,1781020276.972801,10.7825,-0.0554,-1.53456,lidar,native_s2m,icp,proximity,0.9145
68,1781020278.119265,10.7943,-0.3291,-1.64669,lidar,native_s2m,icp,proximity,0.9079
69,1781020279.270445,10.8159,-0.5832,-1.55354,lidar,native_s2m,icp,proximity,0.9049
70,1781020280.945654,10.838,-0.8363,-1.53282,lidar,native_s2m,icp,proximity,0.9266
71,1781020283.026473,10.8646,-1.0044,-1.54831,lidar,native_s2m,icp,proximity,0.9479
72,1781020284.283341,10.8401,-0.7385,-1.56077,lidar,native_s2m,icp,proximity,0.9387
73,1781020285.212607,10.8243,-0.4829,-1.5665,lidar,native_s2m,icp,proximity,0.94
74,1781020285.942076,10.7961,-0.2878,-1.34825,lidar,native_s2m,icp,proximity,0.9343
75,1781020286.460884,10.782,-0.1667,-1.13757,lidar,native_s2m,icp,proximity,0.9115
76,1781020286.980609,10.7094,-0.0917,-0.88161,lidar,native_s2m,icp,proximity,0.9086
77,1781020287.5009,10.6371,0.0048,-0.63742,lidar,native_s2m,icp,proximity,0.9167
78,1781020288.021624,10.5527,0.0781,-0.38524,lidar,native_s2m,icp,proximity,0.9073
79,1781020288.437388,10.4693,0.1171,-0.1674,lidar,native_s2m,icp,proximity,0.924
80,1781020288.961496,10.3488,0.1312,0.08633,lidar,native_s2m,icp,proximity,0.9258
81,1781020291.033044,10.2848,0.1351,0.12042,lidar,native_s2m,icp,proximity,0.9242
82,1781020291.858679,10.4029,0.1954,0.33776,lidar,native_s2m,icp,proximity,0.9219
83,1781020292.586108,10.5106,0.2758,0.57007,lidar,native_s2m,icp,proximity,0.9111
84,1781020293.837993,10.6367,0.4375,0.78867,lidar,native_s2m,icp,proximity,0.923
85,1781020294.977934,10.7343,0.617,1.00157,lidar,native_s2m,icp,proximity,0.9049
86,1781020295.807374,10.7633,0.763,1.23009,lidar,native_s2m,icp,proximity,0.9029
87,1781020297.053416,10.8142,1.0079,1.38047,lidar,native_s2m,icp,proximity,0.8844
88,1781020298.404007,10.8128,1.2616,1.53265,lidar,native_s2m,icp,proximity,0.8818
89,1781020299.646185,10.8029,1.52,1.53603,lidar,native_s2m,icp,proximity,0.8881
90,1781020301.727992,10.8059,1.4462,1.51891,lidar,native_s2m,icp,proximity,0.9201
91,1781020302.764804,10.7867,1.1856,1.50037,lidar,native_s2m,icp,proximity,0.9322
92,1781020303.703781,10.7835,0.9285,1.49505,lidar,native_s2m,icp,proximity,0.9354
93,1781020304.548592,10.7944,0.6691,1.46836,lidar,native_s2m,icp,proximity,0.8585
94,1781020304.962131,10.7963,0.5485,1.25184,lidar,native_s2m,icp,proximity,0.8923
95,1781020305.480769,10.7604,0.4207,1.00625,lidar,native_s2m,icp,proximity,0.9341
96,1781020306.416591,10.6896,0.284,0.77206,lidar,native_s2m,icp,proximity,0.9326
97,1781020307.037484,10.6088,0.1907,0.53987,lidar,native_s2m,icp,proximity,0.934
98,1781020309.10753,10.6934,0.1959,0.34814,lidar,native_s2m,icp,proximity,0.9438
99,1781020311.193402,10.9349,0.2695,0.20314,lidar,native_s2m,icp,proximity,0.9209
100,1781020312.958439,11.2037,0.2924,0.00745,lidar,native_s2m,icp,proximity,0.9383
101,1781020314.418099,11.4657,0.3051,-0.10551,lidar,native_s2m,icp,proximity,0.9102
102,1781020315.559904,11.7176,0.3119,-0.06003,lidar,native_s2m,icp,proximity,0.9078
103,1781020316.909052,11.9866,0.3137,-0.05101,lidar,native_s2m,icp,proximity,0.8433
104,1781020318.041945,12.2436,0.3199,-0.06728,lidar,native_s2m,icp,proximity,0.8431
105,1781020319.189967,12.5072,0.3248,-0.07133,lidar,native_s2m,icp,proximity,0.8609
106,1781020320.427337,12.8819,0.3389,-0.00648,lidar,native_s2m,icp,proximity,0.8461
107,1781020321.465351,13.134,0.3612,-0.01624,lidar,native_s2m,icp,proximity,0.8591
108,1781020322.501884,13.4013,0.3742,-0.02808,lidar,native_s2m,icp,proximity,0.8258
109,1781020323.640689,13.6706,0.3875,-0.03305,lidar,native_s2m,icp,proximity,0.8458
110,1781020325.093978,13.9369,0.36,-0.23491,lidar,native_s2m,icp,proximity,0.8841
111,1781020326.23649,14.1289,0.3014,-0.46214,lidar,native_s2m,icp,proximity,0.8863
112,1781020327.374536,14.3519,0.1883,-0.56187,lidar,native_s2m,icp,proximity,0.8843
113,1781020328.728685,14.5564,0.025,-0.72465,lidar,native_s2m,icp,proximity,0.9009
114,1781020329.861186,14.7455,-0.147,-0.81626,lidar,native_s2m,icp,proximity,0.8878
115,1781020331.004705,14.9442,-0.3291,-0.82955,lidar,native_s2m,icp,proximity,0.8923
116,1781020332.136438,15.1373,-0.4879,-0.71488,lidar,native_s2m,icp,proximity,0.9015
117,1781020333.176413,15.3787,-0.6016,-0.53685,lidar,native_s2m,icp,proximity,0.8739
118,1781020333.798107,15.529,-0.6189,-0.28701,lidar,native_s2m,icp,proximity,0.8679
119,1781020334.844749,15.7937,-0.6404,-0.11667,lidar,native_s2m,icp,proximity,0.8508
120,1781020335.884118,16.0494,-0.6323,-0.02431,lidar,native_s2m,icp,proximity,0.8904
121,1781020337.138578,16.3119,-0.6243,-0.03726,lidar,native_s2m,icp,proximity,0.8685
122,1781020338.374729,16.5661,-0.614,-0.04396,lidar,native_s2m,icp,proximity,0.8793
123,1781020339.632912,16.8167,-0.6084,-0.05288,lidar,native_s2m,icp,proximity,0.9049
124,1781020340.875433,17.0808,-0.61,-0.05915,lidar,native_s2m,icp,proximity,0.8887
125,1781020342.016127,17.3437,-0.5861,-0.00365,lidar,native_s2m,icp,proximity,0.8856
126,1781020343.154043,17.594,-0.5344,0.15733,lidar,native_s2m,icp,proximity,0.8477
127,1781020344.29032,17.8314,-0.4438,0.35474,lidar,native_s2m,icp,proximity,0.8725
128,1781020345.641429,18.0696,-0.3029,0.47957,lidar,native_s2m,icp,proximity,0.8455
129,1781020346.37301,18.1532,-0.205,0.71011,lidar,native_s2m,icp,proximity,0.8466
130,1781020347.618933,18.3397,-0.0121,0.74812,lidar,native_s2m,icp,proximity,0.8832
131,1781020348.441861,18.4342,0.1423,0.96618,lidar,native_s2m,icp,proximity,0.8818
132,1781020349.169556,18.4798,0.2871,1.20948,lidar,native_s2m,icp,proximity,0.8727
133,1781020350.526428,18.5076,0.5464,1.35264,lidar,native_s2m,icp,proximity,0.9041
134,1781020352.081635,18.5418,0.806,1.29493,lidar,native_s2m,icp,proximity,0.8729
135,1781020353.540634,18.6052,0.9404,1.07159,lidar,native_s2m,icp,proximity,0.8908
136,1781020355.099494,18.7355,1.1333,0.85548,lidar,native_s2m,icp,proximity,0.8868
137,1781020356.140314,18.8822,1.2542,0.62865,lidar,native_s2m,icp,proximity,0.9077
138,1781020357.290234,19.0643,1.3522,0.40599,lidar,native_s2m,icp,proximity,0.8931
139,1781020358.320594,19.2469,1.4026,0.1746,lidar,native_s2m,icp,proximity,0.903
140,1781020359.573692,19.4988,1.4388,0.02784,lidar,native_s2m,icp,proximity,0.8977
141,1781020360.825391,19.7681,1.4564,0.01098,lidar,native_s2m,icp,proximity,0.8823
142,1781020361.982372,20.0315,1.475,0.00145,lidar,native_s2m,icp,proximity,0.8462
143,1781020363.030284,20.2505,1.4671,-0.21103,lidar,native_s2m,icp,proximity,0.8239
144,1781020364.38357,20.484,1.3768,-0.42534,lidar,native_s2m,icp,proximity,0.8652
145,1781020365.001451,20.5975,1.3079,-0.6877,lidar,native_s2m,icp,proximity,0.8541
146,1781020365.519197,20.657,1.2295,-0.93093,lidar,native_s2m,icp,proximity,0.8632
147,1781020366.036952,20.6947,1.1419,-1.15331,lidar,native_s2m,icp,proximity,0.8734
148,1781020366.660906,20.7091,1.053,-1.38198,lidar,native_s2m,icp,proximity,0.8753
149,1781020367.378867,20.7125,0.936,-1.59546,lidar,native_s2m,icp,proximity,0.8615
150,1781020368.725169,20.7225,0.6803,-1.5673,lidar,native_s2m,icp,proximity,0.883
151,1781020369.984183,20.7077,0.4825,-1.77719,lidar,native_s2m,icp,proximity,0.8984
152,1781020370.705765,20.6829,0.4107,-1.99182,lidar,native_s2m,icp,proximity,0.8787
153,1781020372.058067,20.5473,0.1733,-2.16533,lidar,native_s2m,icp,proximity,0.8714
154,1781020372.996428,20.4064,-0.0352,-2.25933,lidar,native_s2m,icp,proximity,0.8888
155,1781020374.249406,20.2224,-0.2253,-2.43125,lidar,native_s2m,icp,proximity,0.9121
156,1781020375.496478,20.0319,-0.3915,-2.52271,lidar,native_s2m,icp,proximity,0.9287
157,1781020376.632891,19.8457,-0.5805,-2.35367,lidar,native_s2m,icp,proximity,0.9322
158,1781020377.880477,19.7124,-0.8127,-2.15673,lidar,native_s2m,icp,proximity,0.9351
159,1781020378.607489,19.6898,-0.9503,-1.92618,lidar,native_s2m,icp,proximity,0.87
160,1781020379.33406,19.6768,-1.1088,-1.69035,lidar,native_s2m,icp,proximity,0.8857
161,1781020380.069021,19.6955,-1.2315,-1.47302,lidar,native_s2m,icp,proximity,0.8894
162,1781020381.529648,19.7119,-1.4757,-1.70512,lidar,native_s2m,icp,proximity,0.8206
