k,kf,stamp,x,y,kind,frm,to,autofallback
3033,114,1781020318.701308,11.39,0.0493,proposer,proximity,dbow,False
7027,259,1781020481.006403,9.8933,-1.7992,fe,native_s2s,visual_vo,False
7662,304,1781020506.822109,9.7348,-1.2337,verifier,bnb,pnp,False
