query,cand,dbow,coarse,refined,accepted
140,88,0.0614,12,0.0,False
174,89,0.0555,12,0.0,False
358,261,0.0661,65,0.812,True
361,262,0.0568,31,0.633,True
363,265,0.0884,66,0.904,True
363,264,0.0724,63,0.94,True
364,267,0.059,29,0.527,True
364,268,0.0536,27,0.614,True
366,268,0.0877,53,0.869,True
366,267,0.0641,37,0.771,True
367,269,0.0763,78,0.918,True
445,115,0.0501,23,0.622,False
449,124,0.06,61,0.792,True
449,119,0.0525,52,0.912,True
450,120,0.0536,84,0.894,True
451,121,0.0632,92,0.876,True
451,120,0.0573,56,0.778,True
455,122,0.0501,45,0.776,True
457,121,0.0515,36,0.72,True
470,143,0.0861,12,0.0,False
470,144,0.0721,5,0.0,False
471,144,0.108,16,0.889,False
472,145,0.1199,33,0.971,False
472,164,0.0674,8,0.0,False
473,145,0.1067,36,0.9,False
473,146,0.051,18,0.75,False
474,146,0.0728,19,0.826,False
475,147,0.0823,29,0.829,False
476,147,0.1077,31,0.969,False
476,149,0.0702,39,0.796,False
477,150,0.1002,19,0.792,False
477,148,0.0866,36,0.818,False
478,150,0.1767,23,0.793,False
478,148,0.0954,19,0.826,False
479,152,0.0892,12,0.0,False
479,153,0.0783,7,0.0,False
480,161,0.088,12,0.0,False
480,159,0.0756,14,0.0,False
481,152,0.0926,10,0.0,False
481,158,0.0611,12,0.0,False
482,159,0.0915,14,0.0,False
482,153,0.0828,9,0.0,False
483,153,0.1348,16,0.941,True
483,154,0.0994,13,0.0,False
484,154,0.1053,19,0.905,True
484,157,0.081,17,0.85,True
485,153,0.0724,25,0.926,False
485,152,0.0583,15,0.75,False
486,160,0.0577,12,0.0,False
486,156,0.0568,10,0.0,False
487,161,0.1057,16,0.842,True
487,162,0.0563,10,0.0,False
488,160,0.0706,14,0.0,False
488,158,0.059,5,0.0,False
644,41,0.0695,39,0.929,False
644,42,0.0686,21,0.955,False
645,40,0.0508,33,0.892,False
