kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
64,1781016192.896505,6.1385,-1.6223,-2.24701,lidar,native_s2s,pnp,proximity,0.8246
65,1781016193.5146,6.0821,-1.7567,-2.01656,lidar,native_s2s,pnp,proximity,0.788
66,1781016194.444775,6.0354,-2.0045,-1.78929,lidar,native_s2s,pnp,proximity,0.7978
67,1781016195.382969,6.0287,-2.2495,-1.56487,lidar,native_s2s,pnp,proximity,0.8084
68,1781016196.519994,6.0707,-2.5126,-1.40682,lidar,native_s2s,pnp,proximity,0.8879
69,1781016197.350565,6.0574,-2.6973,-1.63054,lidar,native_s2s,pnp,proximity,0.8352
70,1781016197.868808,6.0259,-2.7755,-1.8623,lidar,native_s2s,pnp,proximity,0.7558
71,1781016198.6972,5.9354,-2.9669,-2.08219,lidar,native_s2s,pnp,proximity,0.9289
72,1781016199.640667,5.8423,-3.0899,-2.30569,lidar,native_s2s,pnp,proximity,0.8845
73,1781016200.891414,5.6841,-3.201,-2.52113,lidar,native_s2s,pnp,proximity,0.8191
74,1781016201.727775,5.5594,-3.215,-2.73727,lidar,native_s2s,pnp,proximity,0.8914
75,1781016202.567184,5.4205,-3.2617,-2.96552,lidar,native_s2s,pnp,proximity,0.7927
76,1781016203.299613,5.2705,-3.1987,3.10601,lidar,native_s2s,pnp,proximity,0.8183
77,1781016204.234157,5.0277,-3.1325,3.02277,lidar,native_s2s,pnp,proximity,0.8198
78,1781016205.173116,4.7797,-3.014,2.92657,lidar,native_s2s,pnp,proximity,0.7204
79,1781016206.215653,4.5543,-2.8776,2.70485,lidar,native_s2s,pnp,proximity,0.7126
80,1781016206.739269,4.4584,-2.7788,2.46854,lidar,native_s2s,pnp,proximity,0.7955
81,1781016207.680929,4.2956,-2.6053,2.24405,lidar,native_s2s,pnp,proximity,0.7994
82,1781016208.105193,4.2554,-2.5058,2.01907,lidar,native_s2s,pnp,proximity,0.7899
83,1781016209.152191,4.165,-2.2613,1.77001,lidar,native_s2s,pnp,proximity,0.8329
84,1781016210.195671,4.1273,-2.0073,1.61198,lidar,native_s2s,pnp,proximity,0.8626
85,1781016211.242622,4.1202,-1.7466,1.52353,lidar,native_s2s,pnp,proximity,0.7854
86,1781016212.292142,4.1326,-1.4916,1.29535,lidar,native_s2s,pnp,proximity,0.7758
87,1781016213.235309,4.2011,-1.3066,1.0606,lidar,native_s2s,pnp,proximity,0.7812
88,1781016214.48502,4.3365,-1.0725,0.84249,lidar,native_s2s,pnp,proximity,0.7906
89,1781016215.739644,4.5012,-0.8804,0.67675,lidar,native_s2s,pnp,proximity,0.8695
90,1781016216.780771,4.7003,-0.7188,0.49549,lidar,native_s2s,pnp,proximity,0.8328
91,1781016217.813323,5.8848,-0.578,0.55721,lidar,native_s2s,pnp,proximity,0.902
92,1781016218.747971,6.0658,-0.3896,0.6209,lidar,native_s2s,pnp,proximity,0.7542
93,1781016219.684471,6.2384,-0.2081,0.70606,lidar,native_s2s,pnp,proximity,0.825
94,1781016220.204694,6.3115,-0.0871,0.92559,lidar,native_s2s,pnp,proximity,0.7976
95,1781016220.828247,6.3694,0.0827,1.16986,lidar,native_s2s,pnp,proximity,0.8312
96,1781016221.976614,6.416,0.3448,1.28002,lidar,native_s2s,pnp,proximity,0.8995
97,1781016223.227117,6.4718,0.6027,1.27862,lidar,native_s2s,pnp,proximity,0.8787
98,1781016224.581392,6.5792,0.8068,1.05993,lidar,native_s2s,pnp,proximity,0.8205
99,1781016225.20794,6.6337,0.899,0.84754,lidar,native_s2s,pnp,proximity,0.8248
100,1781016225.936384,6.7091,0.9903,0.63776,lidar,native_s2s,pnp,proximity,0.8477
101,1781016226.983853,6.5614,1.0429,0.4848,lidar,native_s2s,pnp,proximity,0.8486
102,1781016227.708497,6.6986,0.9941,0.27135,lidar,native_s2s,pnp,proximity,0.8525
103,1781016229.059021,6.9508,0.9595,0.06559,lidar,native_s2s,pnp,proximity,0.8048
