kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
64,1782491847.397924,2.1395,-3.3062,3.01526,lidar,native_s2s,pnp,proximity,0.8745
65,1782491848.448411,1.8894,-3.2546,3.00119,lidar,native_s2s,pnp,proximity,0.8562
66,1782491849.501733,1.6236,-3.2348,3.10517,lidar,native_s2s,pnp,proximity,0.9009
67,1782491850.439522,1.3624,-3.2121,3.08558,lidar,native_s2s,pnp,proximity,0.89
68,1782491851.388879,1.1073,-3.1777,3.05953,lidar,native_s2s,pnp,proximity,0.892
69,1782491852.534704,0.8416,-3.1076,2.87586,lidar,native_s2s,pnp,proximity,0.917
70,1782491853.16117,0.7259,-3.0428,2.64811,lidar,native_s2s,pnp,proximity,0.9159
71,1782491853.996911,0.6056,-2.9312,2.41952,lidar,native_s2s,pnp,proximity,0.9018
72,1782491854.513617,0.5492,-2.8475,2.19638,lidar,native_s2s,pnp,proximity,0.865
73,1782491855.748898,0.4755,-2.5893,1.98389,lidar,native_s2s,pnp,proximity,0.9112
74,1782491857.831403,0.5727,-2.7909,2.18965,lidar,native_s2s,pnp,proximity,0.9219
75,1782491858.353093,0.6343,-2.8516,2.42246,lidar,native_s2s,pnp,proximity,0.9099
76,1782491858.875513,0.7255,-2.9043,2.67389,lidar,native_s2s,pnp,proximity,0.9257
77,1782491859.397908,0.8279,-2.9355,2.92123,lidar,native_s2s,pnp,proximity,0.8994
78,1782491860.444477,1.0945,-2.9257,3.0731,lidar,native_s2s,pnp,proximity,0.8966
79,1782491861.394167,1.3477,-2.8806,-3.09304,lidar,native_s2s,pnp,proximity,0.8634
80,1782491862.229135,1.5913,-2.8082,3.11128,lidar,native_s2s,pnp,proximity,0.7953
81,1782491863.05576,1.8501,-2.7471,3.10599,lidar,native_s2s,pnp,proximity,0.8641
82,1782491863.993647,2.1201,-2.696,3.11981,lidar,native_s2s,pnp,proximity,0.822
83,1782491864.824135,2.3791,-2.6394,-3.07392,lidar,native_s2s,pnp,proximity,0.8869
84,1782491865.758639,2.6416,-2.5639,-3.00032,lidar,native_s2s,pnp,proximity,0.8883
85,1782491866.593694,2.8773,-2.4669,-2.92433,lidar,native_s2s,pnp,proximity,0.8325
86,1782491867.321953,3.1081,-2.361,3.10362,lidar,native_s2s,pnp,proximity,0.7971
87,1782491867.743251,3.2668,-2.3769,2.88012,lidar,native_s2s,pnp,proximity,0.801
88,1782491868.158775,3.4054,-2.4014,2.65527,lidar,native_s2s,pnp,proximity,0.8496
89,1782491868.676092,3.5684,-2.4463,2.4092,lidar,native_s2s,pnp,proximity,0.8881
90,1782491870.778606,3.4983,-2.2957,2.16456,lidar,native_s2s,pnp,proximity,0.9189
91,1782491871.931866,3.4381,-2.1019,1.94458,lidar,native_s2s,pnp,proximity,0.8367
92,1782491872.969536,3.4186,-1.9258,1.73139,lidar,native_s2s,pnp,proximity,0.861
93,1782491874.331651,3.4143,-1.668,1.54359,lidar,native_s2s,pnp,proximity,0.7989
94,1782491875.375209,3.4876,-1.4145,1.35737,lidar,native_s2s,pnp,proximity,0.8383
95,1782491876.412889,3.5582,-1.1547,1.41298,lidar,native_s2s,pnp,proximity,0.8577
96,1782491877.563405,3.6052,-0.8948,1.47269,lidar,native_s2s,pnp,proximity,0.8461
97,1782491878.608624,3.6482,-0.6387,1.45104,lidar,native_s2s,pnp,proximity,0.8313
98,1782491879.865021,3.7001,-0.3839,1.43118,lidar,native_s2s,pnp,proximity,0.8602
99,1782491881.015556,3.751,-0.1251,1.38752,lidar,native_s2s,pnp,proximity,0.7939
100,1782491882.064891,3.8486,0.1037,1.17056,lidar,native_s2s,pnp,proximity,0.8141
101,1782491883.201109,3.977,0.3306,1.00006,lidar,native_s2s,pnp,proximity,0.8982
102,1782491884.443411,4.144,0.529,0.79162,lidar,native_s2s,pnp,proximity,0.9226
103,1782491885.688984,4.3306,0.7021,0.68946,lidar,native_s2s,pnp,proximity,0.9012
104,1782491886.831405,4.5291,0.8131,0.46009,lidar,native_s2s,pnp,proximity,0.9011
105,1782491887.763882,4.6842,0.875,0.23845,lidar,native_s2s,pnp,proximity,0.8751
106,1782491888.590359,4.9396,0.925,0.03011,lidar,native_s2s,pnp,proximity,0.9047
107,1782491889.525006,5.2101,0.9552,0.04794,lidar,native_s2s,pnp,proximity,0.903
108,1782491890.462604,5.4686,1.0046,0.02336,lidar,native_s2s,pnp,proximity,0.9049
109,1782491891.401257,5.7389,1.0237,-0.06935,lidar,native_s2s,pnp,proximity,0.8905
110,1782491892.341011,6.0296,1.0294,-0.16151,lidar,native_s2s,pnp,proximity,0.8382
111,1782491893.280382,6.2938,1.0473,-0.08214,lidar,native_s2s,pnp,proximity,0.8939
112,1782491894.42908,6.5563,0.9776,-0.11179,lidar,native_s2s,pnp,proximity,0.9188
113,1782491895.37377,6.8028,0.9337,-0.1229,lidar,native_s2s,pnp,proximity,0.919
114,1782491896.415469,7.0651,0.8939,-0.14522,lidar,native_s2s,pnp,proximity,0.8971
