query,cand,dbow,coarse,refined,accepted
127,81,0.052,0.7388,0.6979,True
341,244,0.0503,0.7246,0.6389,True
343,246,0.0578,0.6369,0.6086,True
344,247,0.0833,0.7387,0.7286,True
344,246,0.0647,0.7477,0.7217,True
345,247,0.0635,0.7285,0.6927,True
346,248,0.0728,0.7077,0.6723,True
346,249,0.0652,0.7,0.6577,True
347,252,0.0671,0.7413,0.726,True
347,251,0.0545,0.7215,0.7176,True
348,252,0.0508,0.7382,0.7212,True
349,252,0.0809,0.6157,0.609,True
350,253,0.0634,0.5745,0.5082,False
428,112,0.0551,0.6783,0.5484,False
429,112,0.0632,0.6198,0.5607,False
429,114,0.0512,0.6944,0.6158,True
430,115,0.0508,0.8157,0.7183,True
431,115,0.0898,0.7551,0.6913,True
431,114,0.0665,0.7551,0.6913,True
434,117,0.0521,0.7629,0.6603,True
450,133,0.1157,0.5539,0.4597,False
451,134,0.105,0.5495,0.4997,False
451,153,0.055,0.6358,0.5282,False
452,134,0.117,0.6699,0.5541,False
452,153,0.0834,0.6687,0.5677,False
453,136,0.1579,0.6588,0.5852,False
453,135,0.0887,0.6795,0.6112,True
454,137,0.0522,0.6004,0.5658,False
455,138,0.0861,0.6804,0.6326,True
456,137,0.0847,0.6674,0.6666,True
456,139,0.076,0.6782,0.6398,True
457,139,0.1637,0.7195,0.6889,True
457,137,0.0922,0.7599,0.7044,True
458,141,0.0892,0.7568,0.7574,True
458,142,0.0783,0.7781,0.7652,True
459,150,0.088,0.8031,0.78,True
459,148,0.0756,0.8085,0.7738,True
460,141,0.0926,0.8829,0.8661,True
460,147,0.0611,0.8824,0.8685,True
461,148,0.0915,0.8804,0.858,True
461,142,0.0828,0.8771,0.8613,True
462,142,0.1348,0.8977,0.8575,True
462,143,0.0994,0.8996,0.858,True
463,143,0.1053,0.8889,0.864,True
463,146,0.081,0.8947,0.8749,True
464,142,0.0724,0.9034,0.8729,True
464,141,0.0583,0.9029,0.8727,True
465,149,0.0577,0.9182,0.8921,True
465,145,0.0568,0.9218,0.899,True
466,150,0.1057,0.8653,0.8404,True
467,149,0.0706,0.8235,0.7934,True
467,147,0.059,0.8235,0.7934,True
608,40,0.0501,0.7487,0.698,False
