query,cand,dbow,coarse,refined,accepted
316,188,0.0783,57,0.713,True
316,189,0.0646,61,0.772,True
317,193,0.0642,80,0.941,True
317,192,0.0616,72,0.857,True
318,197,0.0648,62,0.912,True
318,193,0.0619,58,0.817,True
319,199,0.0609,59,0.843,True
319,200,0.0516,51,0.836,True
320,202,0.1033,85,0.876,True
320,203,0.0707,69,0.841,True
321,205,0.0542,45,0.692,True
321,209,0.0509,41,0.774,True
322,211,0.0949,40,0.8,True
322,209,0.0931,63,0.797,True
323,211,0.0803,62,0.873,True
323,212,0.0783,66,0.835,True
324,215,0.0765,30,0.789,False
327,222,0.0747,27,0.771,False
327,223,0.0678,24,0.667,False
328,224,0.0653,18,0.6,False
401,4,0.0514,41,0.911,True
