kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
65,1782491863.05576,2.6322,-3.0513,3.04806,lidar,native_s2m,icp,proximity,0.9463
66,1782491863.993647,2.9092,-3.0676,3.05712,lidar,native_s2m,icp,proximity,0.9301
67,1782491864.824135,3.1635,-3.0693,-3.1395,lidar,native_s2m,icp,proximity,0.9224
68,1782491865.758639,3.4366,-3.0491,-3.05905,lidar,native_s2m,icp,proximity,0.8945
69,1782491866.699331,3.713,-2.9781,-2.9592,lidar,native_s2m,icp,proximity,0.9155
70,1782491867.321953,3.9208,-2.9286,3.06005,lidar,native_s2m,icp,proximity,0.8717
71,1782491867.743251,4.0568,-2.9237,2.84695,lidar,native_s2m,icp,proximity,0.8942
72,1782491868.158775,4.1772,-2.9495,2.62123,lidar,native_s2m,icp,proximity,0.8875
73,1782491868.676092,4.3069,-2.9925,2.38048,lidar,native_s2m,icp,proximity,0.9207
74,1782491870.778606,4.1643,-2.8387,2.13054,lidar,native_s2m,icp,proximity,0.9503
75,1782491871.931866,4.069,-2.6449,1.90895,lidar,native_s2m,icp,proximity,0.9355
76,1782491872.969536,4.028,-2.4629,1.69636,lidar,native_s2m,icp,proximity,0.9386
77,1782491874.331651,4.0113,-2.1752,1.5032,lidar,native_s2m,icp,proximity,0.9331
78,1782491875.375209,4.0519,-1.9219,1.3202,lidar,native_s2m,icp,proximity,0.9181
79,1782491876.412889,4.0949,-1.6604,1.37494,lidar,native_s2m,icp,proximity,0.9368
80,1782491877.563405,4.1196,-1.3917,1.43297,lidar,native_s2m,icp,proximity,0.9425
81,1782491878.608624,4.1403,-1.1303,1.40997,lidar,native_s2m,icp,proximity,0.9378
82,1782491879.865021,4.1674,-0.8755,1.39108,lidar,native_s2m,icp,proximity,0.9342
83,1782491881.121715,4.2125,-0.6183,1.30236,lidar,native_s2m,icp,proximity,0.8852
84,1782491882.165323,4.2972,-0.4128,1.08206,lidar,native_s2m,icp,proximity,0.9085
85,1782491883.408349,4.445,-0.194,0.93454,lidar,native_s2m,icp,proximity,0.9008
86,1782491884.859457,4.6294,-0.0059,0.71879,lidar,native_s2m,icp,proximity,0.9044
87,1782491886.209897,4.8213,0.1326,0.49102,lidar,native_s2m,icp,proximity,0.9091
88,1782491887.246243,4.9926,0.2012,0.26121,lidar,native_s2m,icp,proximity,0.8979
89,1782491888.281998,5.2297,0.2342,0.03438,lidar,native_s2m,icp,proximity,0.8772
90,1782491889.322193,5.5035,0.2437,-0.03215,lidar,native_s2m,icp,proximity,0.8749
91,1782491890.361787,5.7738,0.2631,-0.01227,lidar,native_s2m,icp,proximity,0.8997
92,1782491891.401257,6.0326,0.2589,-0.11716,lidar,native_s2m,icp,proximity,0.8792
93,1782491892.341011,6.2812,0.229,-0.21022,lidar,native_s2m,icp,proximity,0.8826
94,1782491893.489428,6.5494,0.2242,-0.13426,lidar,native_s2m,icp,proximity,0.878
95,1782491894.639967,6.8036,0.207,-0.1525,lidar,native_s2m,icp,proximity,0.8836
96,1782491895.790281,7.0663,0.1852,-0.17028,lidar,native_s2m,icp,proximity,0.896
97,1782491896.83115,7.3195,0.1586,-0.19507,lidar,native_s2m,icp,proximity,0.8873
98,1782491898.397946,7.5696,0.126,-0.2112,lidar,native_s2m,icp,proximity,0.9006
99,1782491900.074571,7.8387,0.1087,-0.11697,lidar,native_s2m,icp,proximity,0.8858
100,1782491901.224548,8.0967,0.1017,-0.11111,lidar,native_s2m,icp,proximity,0.844
101,1782491902.255377,8.3797,0.0898,-0.11559,lidar,native_s2m,icp,proximity,0.8726
