query,cand,coarse,refined,dx,dy,dth,accepted
60,30,0.462,0.462,0.173,0.088,0.0095,False
60,29,0.501,0.501,0.174,0.091,0.0085,False
65,33,0.7534,0.7534,0.042,0.054,0.0129,True
65,34,0.7553,0.7553,0.041,0.056,0.012,True
70,32,0.7061,0.7061,0.017,0.041,-0.0046,True
70,33,0.7079,0.7079,0.015,0.051,-0.006,True
75,31,0.6407,0.6407,0.009,-0.014,0.0018,True
75,32,0.6407,0.6407,0.009,-0.014,0.0018,True
80,30,0.9512,0.9512,-0.006,-0.032,0.005,True
80,29,0.9475,0.9475,-0.003,-0.028,0.0055,True
85,31,0.9315,0.9315,-0.049,-0.026,-0.0083,True
85,30,0.9315,0.9315,-0.051,-0.024,-0.0089,True
90,34,0.9549,0.9549,0.006,0.006,-0.0027,True
90,35,0.9549,0.9549,0.006,0.006,-0.0027,True
95,44,0.9133,0.9133,-0.043,0.025,0.0025,True
95,45,0.9133,0.9133,-0.043,0.024,0.0024,True
100,47,0.9665,0.9665,-0.002,0.038,0.0033,True
100,46,0.9577,0.9577,-0.005,0.037,0.0035,True
105,53,1.0,1.0,0.012,0.041,0.0077,True
105,52,1.0,1.0,0.009,0.032,0.0056,True
110,58,0.9981,0.9981,0.019,0.03,0.0075,True
110,59,0.9981,0.9981,0.019,0.03,0.0076,True
115,62,0.9918,0.9918,0.018,0.026,0.0058,True
115,63,0.9918,0.9918,0.017,0.022,0.0053,True
120,89,0.92,0.92,0.015,-0.005,-0.0008,True
120,88,0.92,0.92,0.015,-0.004,-0.0005,True
125,29,0.9301,0.9301,-0.019,-0.007,0.0014,True
125,28,0.9301,0.9301,-0.015,-0.017,-0.0036,True
130,24,1.0,1.0,-0.02,-0.012,-0.0031,True
130,23,1.0,1.0,-0.021,-0.01,-0.0023,True
135,17,0.9666,0.9666,-0.012,-0.014,0.0028,True
135,18,0.9666,0.9666,-0.013,-0.014,0.0027,True
140,14,0.9727,0.9727,-0.023,0.012,-0.0094,True
140,15,0.9727,0.9727,-0.023,0.013,-0.0094,True
145,14,0.9539,0.9539,-0.002,-0.017,0.0023,True
145,13,0.9539,0.9539,-0.002,-0.017,0.0023,True
150,10,1.0,1.0,-0.015,-0.03,0.0067,True
150,9,1.0,1.0,-0.017,-0.032,0.0072,True
155,7,0.9721,0.9721,-0.003,0.008,-0.0044,True
155,8,0.9738,0.9738,-0.003,0.009,-0.0045,True
