query,cand,coarse,refined,dx,dy,dth,accepted
70,40,0.4966,0.5614,0.216,-0.084,-0.0372,False
70,39,0.5034,0.5662,0.202,-0.078,-0.0148,False
75,45,0.4278,0.4449,0.098,-0.226,0.0565,False
75,44,0.4278,0.4449,0.098,-0.226,0.0565,False
80,50,0.8279,0.6684,0.025,-0.013,0.0042,True
80,49,0.8279,0.6748,0.026,-0.013,0.0041,True
85,55,0.8894,0.7228,0.01,0.013,0.0324,True
85,54,0.8894,0.7227,0.009,0.013,0.0322,True
90,60,0.9724,0.7538,0.016,0.012,-0.0038,True
90,55,0.9724,0.7542,0.016,0.013,-0.0038,True
95,54,0.9725,0.8784,-0.0,-0.03,0.0,True
95,65,0.9742,0.8818,-0.0,-0.031,0.0,True
100,57,0.94,0.7653,0.012,-0.013,-0.0174,True
100,58,0.94,0.7684,0.012,-0.013,-0.0173,True
105,57,0.5686,0.4191,0.178,0.075,-0.0176,False
105,58,0.5686,0.419,0.178,0.075,-0.0176,False
110,57,0.3119,0.4775,0.065,0.015,0.0187,False
110,58,0.3119,0.4775,0.065,0.015,0.0187,False
115,57,0.1732,0.4777,-0.047,-0.046,0.0005,False
115,58,0.1732,0.4777,-0.047,-0.046,0.0005,False
155,125,0.5291,0.4272,0.223,0.089,0.0511,False
155,124,0.5591,0.4147,0.214,0.094,0.043,False
160,129,0.5612,0.4609,0.103,-0.107,0.0266,False
160,128,0.5629,0.4607,0.108,-0.108,0.0276,False
165,127,0.6555,0.5593,0.113,-0.054,0.004,False
165,128,0.6534,0.559,0.114,-0.054,0.0041,False
170,125,0.8722,0.5453,-0.025,-0.079,-0.0146,False
170,126,0.8722,0.5462,-0.028,-0.077,-0.0155,False
175,125,0.987,0.7752,0.018,-0.018,0.0105,True
175,126,0.9891,0.7742,0.028,-0.017,0.0113,True
180,129,0.9245,0.779,0.003,0.002,-0.0043,True
180,130,0.9245,0.7738,0.007,0.004,-0.0039,True
185,136,0.9004,0.6772,-0.039,-0.01,0.0006,True
185,137,0.9004,0.6996,-0.04,-0.011,0.0008,True
190,140,0.9638,0.8246,0.003,0.033,-0.0009,True
190,141,0.9638,0.792,0.015,0.034,-0.0017,True
195,143,0.9978,0.6101,0.075,-0.033,-0.013,True
195,144,1.0,0.6158,0.076,-0.039,-0.013,True
200,150,1.0,0.7654,0.002,-0.017,-0.0028,True
200,149,1.0,0.7706,0.002,-0.017,-0.0027,True
205,154,0.9869,0.8334,-0.012,-0.005,0.0009,True
205,155,0.9869,0.8372,-0.003,-0.005,0.0024,True
210,180,0.937,0.8661,0.004,-0.001,0.0023,True
210,179,0.937,0.8675,-0.002,0.0,0.0018,True
215,124,0.9955,0.7709,0.009,0.009,-0.0011,True
215,125,0.9955,0.7745,0.01,0.009,-0.0016,True
220,119,0.9857,0.7503,0.009,-0.003,-0.0038,True
220,120,0.9857,0.7511,0.009,-0.003,-0.004,True
225,114,0.9786,0.799,0.003,0.002,-0.0007,True
225,113,0.9786,0.7949,0.003,0.002,-0.0006,True
230,109,0.9868,0.6978,0.049,0.038,-0.0193,True
230,108,0.9885,0.7635,0.039,0.034,-0.0131,True
235,104,0.9915,0.771,0.051,0.023,-0.0007,True
235,103,0.9915,0.7767,0.05,0.022,-0.0008,True
240,99,0.9962,0.8255,0.002,0.01,-0.0006,True
240,58,0.9962,0.8222,0.003,0.01,-0.0008,True
245,73,1.0,0.9094,-0.02,-0.021,0.0099,True
245,74,1.0,0.9107,-0.02,-0.021,0.01,True
250,69,1.0,0.884,-0.01,-0.001,0.0002,True
250,71,1.0,0.8967,-0.01,-0.001,-0.0001,True
255,75,0.9984,0.8572,-0.025,-0.005,0.0084,True
255,76,0.9984,0.8609,-0.024,-0.004,0.0083,True
260,96,0.9983,0.8843,-0.022,0.014,0.0116,True
260,54,0.9983,0.8905,-0.024,0.014,0.0117,True
265,86,1.0,0.9155,-0.042,0.016,0.0075,True
265,89,1.0,0.9137,-0.041,0.017,0.0076,True
270,92,0.9748,0.8513,-0.052,0.02,0.0154,True
270,91,0.9748,0.8324,-0.051,0.02,0.0154,True
275,98,0.9737,0.8642,0.023,-0.018,-0.0047,True
275,59,0.9737,0.8747,0.021,-0.019,-0.0048,True
280,52,0.9749,0.838,-0.018,-0.012,-0.0033,True
280,79,0.9749,0.8391,-0.018,-0.012,-0.0033,True
285,50,0.8631,0.5573,-0.055,0.016,0.0146,False
285,51,0.8631,0.517,-0.079,0.021,0.0156,False
290,48,0.7288,0.4384,-0.082,-0.016,0.0335,False
290,49,0.7288,0.4533,-0.082,-0.016,0.0334,False
295,46,0.8908,0.612,-0.07,-0.033,-0.0009,True
295,47,0.8908,0.6108,-0.07,-0.033,-0.001,True
300,44,0.7832,0.6344,-0.024,-0.001,-0.0088,True
300,45,0.7905,0.6246,-0.028,-0.01,-0.0078,True
305,42,0.8065,0.6866,-0.015,0.021,-0.004,True
305,43,0.8154,0.6782,-0.005,0.014,-0.003,True
310,40,0.8653,0.6818,0.022,-0.027,0.0099,True
