query,cand,dbow,coarse,refined,accepted
156,93,0.0545,0.6928,0.5927,False
156,92,0.0542,0.6937,0.5956,False
159,92,0.0659,0.5599,0.5492,False
160,92,0.0583,,,False
175,91,0.052,0.6038,0.5068,False
177,92,0.0527,,,False
178,101,0.0593,0.6435,0.5311,False
179,103,0.0705,0.6186,0.563,False
179,100,0.0614,0.642,0.5538,False
180,99,0.0526,0.668,0.5595,False
181,101,0.076,0.6079,0.5019,False
181,108,0.0615,0.7122,0.5873,False
184,106,0.0591,0.6309,0.5216,False
184,104,0.0565,0.6415,0.5382,False
232,112,0.0518,0.589,0.5858,False
390,349,0.0583,0.6252,0.6119,True
391,361,0.0804,0.6482,0.6347,True
391,356,0.0604,0.6468,0.6329,True
392,362,0.1642,0.6416,0.6409,True
392,360,0.142,0.6416,0.6374,True
393,363,0.0955,0.635,0.6301,True
393,358,0.0855,0.635,0.6301,True
394,363,0.0955,0.6251,0.6261,True
394,358,0.0855,0.6251,0.6271,True
407,365,0.0621,0.6282,0.6267,True
407,361,0.0621,0.6282,0.6267,True
408,365,0.1073,0.6367,0.6245,True
408,367,0.1058,0.6367,0.6245,True
409,365,0.1627,0.6416,0.6233,True
409,360,0.1328,0.6416,0.6233,True
410,356,0.0786,0.6218,0.6149,True
410,365,0.0786,0.6218,0.6149,True
411,362,0.0833,0.6224,0.6113,True
411,364,0.0731,0.6224,0.6113,True
412,359,0.0526,0.6254,0.6241,True
412,361,0.0526,0.6254,0.6241,True
413,363,0.1217,0.6168,0.5972,False
413,349,0.0583,0.6168,0.5972,False
414,352,0.056,0.6295,0.6216,True
481,327,0.0563,0.5628,0.5548,False
484,328,0.109,0.5953,0.5778,False
484,329,0.0524,0.5953,0.5778,False
485,328,0.0656,0.5769,0.5779,False
485,333,0.0564,0.5883,0.587,False
486,331,0.0703,0.5804,0.5833,False
486,330,0.0534,0.5804,0.5832,False
487,330,0.0625,,,False
487,334,0.0541,,,False
488,334,0.0614,0.5731,0.552,False
489,334,0.0802,0.5648,0.5509,False
489,333,0.0511,0.5651,0.5186,False
490,335,0.0773,0.5723,0.5569,False
490,336,0.0523,0.5691,0.5673,False
491,335,0.0671,0.5552,0.5474,False
491,336,0.0659,0.5539,0.5447,False
574,137,0.0514,0.5101,0.5015,False
575,147,0.063,0.5279,0.5026,False
575,138,0.0601,0.528,0.5173,False
579,143,0.0648,0.5251,0.5021,False
586,149,0.0563,0.5139,0.509,False
599,187,0.0634,0.5162,0.4946,False
601,190,0.0861,0.5205,0.515,False
601,188,0.0741,0.5205,0.515,False
602,192,0.1034,0.524,0.5209,False
603,192,0.1157,-1.0,-1.0,False
604,193,0.1006,-1.0,-1.0,False
605,193,0.1285,-1.0,-1.0,False
605,195,0.0578,-1.0,-1.0,False
606,194,0.1267,-1.0,-1.0,False
607,195,0.0598,0.489,0.4823,False
607,198,0.0513,0.4893,0.4833,False
608,197,0.0822,0.5326,0.5251,False
608,195,0.0779,0.5326,0.5251,False
609,196,0.0959,0.5373,0.5226,False
609,198,0.0728,0.5373,0.5226,False
610,198,0.124,0.5407,0.538,False
610,196,0.1151,0.5407,0.538,False
611,208,0.1706,,,False
611,207,0.1252,,,False
612,201,0.0916,0.5511,0.5472,False
612,207,0.0811,0.5595,0.5571,False
613,207,0.1186,0.5525,0.5409,False
613,199,0.0707,0.5524,0.5402,False
614,201,0.0776,0.5414,0.5349,False
614,202,0.0762,0.5456,0.5471,False
615,205,0.1335,0.5615,0.5188,False
615,206,0.1172,0.5606,0.5291,False
616,205,0.0991,0.5644,0.5342,False
616,201,0.0929,0.5632,0.5339,False
617,206,0.1157,0.5632,0.545,False
617,208,0.1022,0.5582,0.5205,False
618,207,0.1164,0.5631,0.5396,False
618,208,0.1111,0.5631,0.5396,False
619,208,0.106,0.5508,0.5284,False
619,204,0.0798,0.5542,0.5489,False
620,208,0.0855,0.5537,0.5517,False
620,209,0.0681,0.552,0.5384,False
800,45,0.0537,,,False
801,45,0.0521,-1.0,-1.0,False
803,43,0.0718,-1.0,-1.0,False
804,42,0.0552,-1.0,-1.0,False
805,41,0.0601,-1.0,-1.0,False
