kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
24,1782485056.868379,2.728,0.2148,0.07693,lidar,native_s2m,icp,proximity,0.8678
25,1782485057.493781,3.0123,0.2479,0.056,lidar,native_s2m,icp,proximity,0.8679
26,1782485058.120639,3.2971,0.2812,0.0286,lidar,native_s2m,icp,proximity,0.8603
27,1782485058.745927,3.5482,0.2643,-0.22467,lidar,native_s2m,icp,proximity,0.733
28,1782485059.05958,3.6665,0.2231,-0.44414,lidar,native_s2m,icp,proximity,0.8307
29,1782485059.679433,3.8871,0.1029,-0.63578,lidar,native_s2m,icp,proximity,0.8594
30,1782485060.090149,3.9944,-0.004,-0.87051,lidar,native_s2m,icp,proximity,0.8383
31,1782485060.402393,4.0481,-0.1061,-1.08925,lidar,native_s2m,icp,proximity,0.8715
32,1782485061.121723,4.1612,-0.3777,-1.27346,lidar,native_s2m,icp,proximity,0.9051
33,1782485061.856255,4.2281,-0.6666,-1.44237,lidar,native_s2m,icp,proximity,0.8984
34,1782485062.5795,4.2658,-0.944,-1.54282,lidar,native_s2m,icp,proximity,0.8884
35,1782485063.20511,4.2726,-1.2076,-1.63563,lidar,native_s2m,icp,proximity,0.9039
36,1782485063.837318,4.2675,-1.4837,-1.65921,lidar,native_s2m,icp,proximity,0.904
37,1782485064.465556,4.2655,-1.7562,-1.67482,lidar,native_s2m,icp,proximity,0.909
38,1782485065.093905,4.2531,-2.0229,-1.6969,lidar,native_s2m,icp,proximity,0.9097
39,1782485065.722627,4.2332,-2.284,-1.76018,lidar,native_s2m,icp,proximity,0.8721
40,1782485066.041829,4.1877,-2.3907,-2.03812,lidar,native_s2m,icp,proximity,0.8661
41,1782485066.3586,4.1181,-2.4793,-2.28422,lidar,native_s2m,icp,proximity,0.8926
42,1782485066.676631,4.0416,-2.5496,-2.50286,lidar,native_s2m,icp,proximity,0.9093
43,1782485067.502966,3.7902,-2.6904,-2.76487,lidar,native_s2m,icp,proximity,0.8766
44,1782485067.816821,3.6847,-2.6998,-3.01863,lidar,native_s2m,icp,proximity,0.9281
45,1782485068.54113,3.3978,-2.7195,3.13882,lidar,native_s2m,icp,proximity,0.876
46,1782485069.166314,3.1231,-2.7166,3.03859,lidar,native_s2m,icp,proximity,0.8978
47,1782485069.787999,2.8536,-2.7245,3.08095,lidar,native_s2m,icp,proximity,0.8937
48,1782485070.419373,2.5662,-2.7229,3.06436,lidar,native_s2m,icp,proximity,0.9003
49,1782485071.049193,2.2757,-2.7203,3.04566,lidar,native_s2m,icp,proximity,0.8796
50,1782485071.674767,1.9787,-2.7114,3.01985,lidar,native_s2m,icp,proximity,0.8807
51,1782485072.099745,1.8671,-2.6754,2.76105,lidar,native_s2m,icp,proximity,0.8767
52,1782485072.421617,1.7706,-2.6082,2.54921,lidar,native_s2m,icp,proximity,0.9035
53,1782485073.051511,1.5752,-2.4682,2.28947,lidar,native_s2m,icp,proximity,0.904
54,1782485073.372598,1.5115,-2.375,2.00512,lidar,native_s2m,icp,proximity,0.853
55,1782485074.10063,1.4419,-2.1011,1.73431,lidar,native_s2m,icp,proximity,0.8792
56,1782485074.516054,1.3631,-1.931,1.48027,lidar,native_s2m,icp,proximity,0.9231
57,1782485075.252684,1.3946,-1.6376,1.34981,lidar,native_s2m,icp,proximity,0.91
58,1782485077.125205,1.3322,-1.9052,1.31207,lidar,native_s2m,icp,proximity,0.926
59,1782485077.742028,1.3076,-2.1599,1.51927,lidar,native_s2m,icp,proximity,0.9307
60,1782485078.15368,1.3015,-2.3268,1.74215,lidar,native_s2m,icp,proximity,0.9048
61,1782485078.466278,1.3482,-2.4604,2.04052,lidar,native_s2m,icp,proximity,0.9075
62,1782485078.777813,1.4069,-2.5876,2.32753,lidar,native_s2m,icp,proximity,0.8853
63,1782485079.3934,1.6198,-2.7663,2.48161,lidar,native_s2m,icp,proximity,0.9218
64,1782485079.707613,1.7304,-2.8559,2.76238,lidar,native_s2m,icp,proximity,0.8885
65,1782485080.019817,1.8636,-2.9055,3.0638,lidar,native_s2m,icp,proximity,0.8892
66,1782485080.638137,2.1716,-2.8948,-3.02335,lidar,native_s2m,icp,proximity,0.906
67,1782485081.16277,2.4192,-2.8522,3.07217,lidar,native_s2m,icp,proximity,0.9222
68,1782485081.680796,2.6853,-2.8444,3.07451,lidar,native_s2m,icp,proximity,0.8922
69,1782485082.295064,2.9676,-2.8489,3.06048,lidar,native_s2m,icp,proximity,0.9251
70,1782485082.816509,3.2384,-2.8542,3.10749,lidar,native_s2m,icp,proximity,0.9106
71,1782485083.338942,3.4857,-2.8464,-3.08115,lidar,native_s2m,icp,proximity,0.9173
72,1782485083.956493,3.7756,-2.8013,-2.99555,lidar,native_s2m,icp,proximity,0.9131
73,1782485084.581718,4.0567,-2.7366,-2.90809,lidar,native_s2m,icp,proximity,0.9141
74,1782485085.105961,4.3037,-2.6652,-2.83533,lidar,native_s2m,icp,proximity,0.916
75,1782485087.19949,4.3891,-2.5912,-3.0609,lidar,native_s2m,icp,proximity,0.9173
76,1782485087.718504,4.2903,-2.5625,3.01652,lidar,native_s2m,icp,proximity,0.9292
77,1782485088.237872,4.1779,-2.5245,2.78674,lidar,native_s2m,icp,proximity,0.9095
78,1782485088.651787,4.1023,-2.4706,2.56969,lidar,native_s2m,icp,proximity,0.8762
79,1782485088.962519,4.0447,-2.4307,2.35876,lidar,native_s2m,icp,proximity,0.9026
80,1782485089.274346,3.9977,-2.3653,2.13652,lidar,native_s2m,icp,proximity,0.8971
81,1782485089.587033,3.9751,-2.2637,1.9183,lidar,native_s2m,icp,proximity,0.9076
82,1782485090.002726,3.9635,-2.1502,1.63868,lidar,native_s2m,icp,proximity,0.9107
83,1782485090.416715,3.983,-2.0327,1.38769,lidar,native_s2m,icp,proximity,0.9012
84,1782485090.831456,4.0312,-1.9289,1.13062,lidar,native_s2m,icp,proximity,0.9217
85,1782485091.55571,4.1421,-1.7032,0.99571,lidar,native_s2m,icp,proximity,0.9164
86,1782485092.188122,4.243,-1.4379,1.22994,lidar,native_s2m,icp,proximity,0.9194
87,1782485092.495921,4.2507,-1.3097,1.44204,lidar,native_s2m,icp,proximity,0.9169
88,1782485092.914992,4.2182,-1.1533,1.69672,lidar,native_s2m,icp,proximity,0.9078
89,1782485093.651133,4.1364,-0.8991,1.69919,lidar,native_s2m,icp,proximity,0.865
90,1782485094.277225,4.098,-0.6261,1.55744,lidar,native_s2m,icp,proximity,0.9278
91,1782485094.695624,4.1501,-0.4748,1.32725,lidar,native_s2m,icp,proximity,0.8699
92,1782485095.009222,4.1932,-0.3612,1.05128,lidar,native_s2m,icp,proximity,0.9284
93,1782485095.729463,4.3301,-0.118,0.91679,lidar,native_s2m,icp,proximity,0.9174
94,1782485096.251918,4.4765,0.0268,0.70693,lidar,native_s2m,icp,proximity,0.9231
95,1782485096.992425,4.6949,0.2008,0.58944,lidar,native_s2m,icp,proximity,0.8771
96,1782485097.618242,4.8917,0.2978,0.36997,lidar,native_s2m,icp,proximity,0.9099
97,1782485098.243435,5.1328,0.3753,0.21894,lidar,native_s2m,icp,proximity,0.8905
98,1782485098.770599,5.321,0.4808,0.4636,lidar,native_s2m,icp,proximity,0.7885
99,1782485099.08157,5.4184,0.5786,0.6731,lidar,native_s2m,icp,proximity,0.7986
100,1782485099.498825,5.5028,0.7158,0.93967,lidar,native_s2m,icp,proximity,0.8287
101,1782485099.912531,5.5058,0.8237,1.2103,lidar,native_s2m,icp,proximity,0.8693
102,1782485101.168664,5.5211,1.0264,1.4242,lidar,native_s2m,icp,proximity,0.8716
103,1782485102.426672,5.5037,0.8752,1.65878,lidar,native_s2m,icp,proximity,0.9024
104,1782485102.949507,5.5455,0.6741,1.39908,lidar,native_s2m,icp,proximity,0.8196
105,1782485103.257081,5.5433,0.5607,1.18046,lidar,native_s2m,icp,proximity,0.8333
106,1782485103.570121,5.5904,0.4105,0.95087,lidar,native_s2m,icp,proximity,0.8522
107,1782485103.880879,5.5283,0.3013,0.71406,lidar,native_s2m,icp,proximity,0.8972
108,1782485105.942028,5.7178,0.418,0.47429,lidar,native_s2m,icp,proximity,0.8824
109,1782485106.66832,5.9624,0.5252,0.30525,lidar,native_s2m,icp,proximity,0.8786
110,1782485107.302111,6.1994,0.5657,0.04222,lidar,native_s2m,icp,proximity,0.799
111,1782485107.933465,6.4612,0.5722,-0.08815,lidar,native_s2m,icp,proximity,0.8359
112,1782485108.668967,6.7503,0.5424,-0.20607,lidar,native_s2m,icp,proximity,0.8576
113,1782485109.412709,7.0326,0.4747,-0.32293,lidar,native_s2m,icp,proximity,0.8646
114,1782485110.14073,7.3229,0.4549,-0.15822,lidar,native_s2m,icp,proximity,0.8272
115,1782485110.764854,7.5795,0.4349,-0.13323,lidar,native_s2m,icp,proximity,0.8494
116,1782485111.392166,7.853,0.4416,-0.02146,lidar,native_s2m,icp,proximity,0.8411
117,1782485112.019854,8.1236,0.4882,0.14452,lidar,native_s2m,icp,proximity,0.8281
118,1782485114.115354,8.2833,0.5408,0.19637,lidar,native_s2m,icp,proximity,0.905
119,1782485116.209956,8.2814,0.54,0.19455,lidar,native_s2m,icp,proximity,0.9318
120,1782485118.30876,8.2784,0.5395,0.19187,lidar,native_s2m,icp,proximity,0.9241
121,1782485120.402103,8.2884,0.5394,0.19555,lidar,native_s2m,icp,proximity,0.9091
122,1782485122.495805,8.2805,0.5412,0.1928,lidar,native_s2m,icp,proximity,0.9297
123,1782485124.590786,8.2254,0.5273,0.19009,lidar,native_s2m,icp,proximity,0.93
124,1782485126.164345,8.4911,0.5801,0.08852,lidar,native_s2m,icp,proximity,0.8677
125,1782485126.898254,8.7798,0.5969,-0.03177,lidar,native_s2m,icp,proximity,0.8314
126,1782485127.52859,9.0408,0.5998,-0.05998,lidar,native_s2m,icp,proximity,0.8237
127,1782485128.156784,9.3133,0.6035,-0.05818,lidar,native_s2m,icp,proximity,0.8278
128,1782485128.681628,9.5752,0.6079,-0.03707,lidar,native_s2m,icp,proximity,0.8341
129,1782485129.306818,9.8451,0.6432,0.05328,lidar,native_s2m,icp,proximity,0.8123
130,1782485129.937234,10.134,0.6587,-0.01295,lidar,native_s2m,icp,proximity,0.8118
131,1782485130.555252,10.4249,0.6685,-0.04818,lidar,native_s2m,icp,proximity,0.7946
132,1782485131.182077,10.7075,0.6716,-0.04234,lidar,native_s2m,icp,proximity,0.7987
133,1782485131.696657,10.965,0.6918,-0.04932,lidar,native_s2m,icp,proximity,0.8076
134,1782485132.319929,11.2577,0.6854,-0.05224,lidar,native_s2m,icp,proximity,0.7968
135,1782485132.944563,11.5503,0.7005,-0.07048,lidar,native_s2m,icp,proximity,0.8187
136,1782485133.563792,11.8062,0.6549,-0.29145,lidar,native_s2m,icp,proximity,0.7852
137,1782485134.190995,12.0388,0.5631,-0.50367,lidar,native_s2m,icp,proximity,0.8595
138,1782485134.807526,12.2596,0.4366,-0.64091,lidar,native_s2m,icp,proximity,0.8286
139,1782485135.540318,12.5025,0.2821,-0.75219,lidar,native_s2m,icp,proximity,0.7885
140,1782485135.96095,12.5875,0.1542,-0.97668,lidar,native_s2m,icp,proximity,0.8487
141,1782485136.692849,12.7467,-0.0777,-1.0906,lidar,native_s2m,icp,proximity,0.8831
142,1782485137.428837,12.8711,-0.3397,-1.2619,lidar,native_s2m,icp,proximity,0.8822
143,1782485138.052866,12.9128,-0.569,-1.49057,lidar,native_s2m,icp,proximity,0.8622
144,1782485138.678478,12.933,-0.8319,-1.61584,lidar,native_s2m,icp,proximity,0.9027
145,1782485139.308846,12.9163,-1.0856,-1.75051,lidar,native_s2m,icp,proximity,0.8874
146,1782485139.942576,12.9086,-1.3681,-1.64611,lidar,native_s2m,icp,proximity,0.8514
147,1782485140.672533,12.9334,-1.6485,-1.50323,lidar,native_s2m,icp,proximity,0.9031
148,1782485141.0854,12.9956,-1.7879,-1.25795,lidar,native_s2m,icp,proximity,0.8908
149,1782485141.50375,13.0922,-1.8996,-1.00778,lidar,native_s2m,icp,proximity,0.828
150,1782485141.926621,13.2287,-2.0039,-0.74337,lidar,native_s2m,icp,proximity,0.8054
151,1782485142.231937,13.3582,-2.0574,-0.51918,lidar,native_s2m,icp,proximity,0.9029
152,1782485142.545482,13.492,-2.0897,-0.29476,lidar,native_s2m,icp,proximity,0.8507
153,1782485142.857592,13.613,-2.0851,-0.08105,lidar,native_s2m,icp,proximity,0.8257
154,1782485143.17012,13.7493,-2.0581,0.13064,lidar,native_s2m,icp,proximity,0.8765
155,1782485143.586145,13.903,-1.9788,0.41015,lidar,native_s2m,icp,proximity,0.852
156,1782485144.002273,14.0288,-1.8457,0.69566,lidar,native_s2m,icp,proximity,0.8918
157,1782485145.562803,14.147,-1.6869,0.94171,lidar,native_s2m,icp,proximity,0.896
158,1782485146.08038,14.1861,-1.549,1.17737,lidar,native_s2m,icp,proximity,0.8844
159,1782485146.504006,14.2053,-1.432,1.39168,lidar,native_s2m,icp,proximity,0.8692
160,1782485147.024646,14.1758,-1.2868,1.63985,lidar,native_s2m,icp,proximity,0.8926
161,1782485147.547703,14.1049,-1.1369,1.89571,lidar,native_s2m,icp,proximity,0.8307
162,1782485148.284329,13.958,-0.9241,2.07395,lidar,native_s2m,icp,proximity,0.9055
163,1782485148.907668,13.8195,-0.7059,2.06152,lidar,native_s2m,icp,proximity,0.884
164,1782485149.330066,13.7587,-0.5364,1.8481,lidar,native_s2m,icp,proximity,0.9022
165,1782485150.060565,13.6942,-0.2692,1.6324,lidar,native_s2m,icp,proximity,0.821
166,1782485150.693706,13.7043,-0.0129,1.44299,lidar,native_s2m,icp,proximity,0.8894
167,1782485151.316013,13.7524,0.2181,1.22873,lidar,native_s2m,icp,proximity,0.7667
168,1782485151.629565,13.8273,0.3244,0.98311,lidar,native_s2m,icp,proximity,0.8528
169,1782485151.947003,13.901,0.4066,0.75917,lidar,native_s2m,icp,proximity,0.87
170,1782485152.667895,14.1106,0.5578,0.52471,lidar,native_s2m,icp,proximity,0.8758
171,1782485153.086344,14.29,0.5325,0.24523,lidar,native_s2m,icp,proximity,0.8269
172,1782485153.8172,14.564,0.5946,0.07036,lidar,native_s2m,icp,proximity,0.8781
173,1782485154.440474,14.8169,0.5912,-0.08253,lidar,native_s2m,icp,proximity,0.8862
174,1782485154.960406,15.0767,0.5957,-0.10555,lidar,native_s2m,icp,proximity,0.8151
175,1782485155.583373,15.3337,0.6014,-0.03309,lidar,native_s2m,icp,proximity,0.8885
176,1782485156.208434,15.6731,0.6413,-0.04572,lidar,native_s2m,icp,proximity,0.8464
177,1782485156.838393,15.9668,0.663,-0.03074,lidar,native_s2m,icp,proximity,0.8731
178,1782485157.448215,16.2536,0.6777,-0.04603,lidar,native_s2m,icp,proximity,0.8578
179,1782485157.97425,16.525,0.6875,0.01405,lidar,native_s2m,icp,proximity,0.8049
180,1782485158.276222,16.6695,0.7437,0.23518,lidar,native_s2m,icp,proximity,0.8659
181,1782485158.589382,16.7882,0.8248,0.42303,lidar,native_s2m,icp,proximity,0.8417
182,1782485158.903449,16.8782,0.9089,0.64031,lidar,native_s2m,icp,proximity,0.8415
183,1782485159.321451,16.9577,1.0343,0.86997,lidar,native_s2m,icp,proximity,0.8233
184,1782485159.947647,17.0965,1.2481,0.96426,lidar,native_s2m,icp,proximity,0.8633
185,1782485160.682245,17.2112,1.506,1.1248,lidar,native_s2m,icp,proximity,0.8313
