query,cand,dbow,coarse,refined,accepted
247,212,0.0667,0,0.0,False
249,211,0.0556,0,0.0,False
251,212,0.0624,1,0.0,False
320,186,0.0527,53,0.768,True
321,189,0.0521,53,0.898,True
322,189,0.0592,63,0.984,True
322,190,0.0541,58,0.841,True
324,191,0.0846,81,0.835,True
324,190,0.0611,62,0.873,True
325,193,0.0605,48,0.814,True
325,194,0.0589,59,0.881,True
326,193,0.0721,35,0.686,False
326,192,0.057,28,0.737,False
327,193,0.1082,65,0.833,True
327,194,0.0781,69,0.908,True
328,193,0.0796,58,0.817,True
328,195,0.0791,59,0.843,True
329,196,0.0907,36,0.818,False
330,196,0.0634,23,0.676,False
331,196,0.0765,30,0.789,False
332,196,0.0541,27,0.659,False
335,198,0.0607,36,0.818,False
