# dataset_name=lab_run_2
# dataset_scan_variant=raw
# dataset_scan_file=/home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
# matcher_type=scan_to_submap
k t x y theta score inliers dx dy dtheta do_insert did_insert
56 1776785632.330690 -0.164443 -0.137547 0.001721 0.970208 197 -0.003114 -0.001883 0.000410 1 1
57 1776785632.439573 -0.165378 -0.137243 0.001211 0.970810 197 -0.000936 0.000304 -0.000510 1 1
58 1776785632.546952 -0.166547 -0.140137 0.001670 0.978237 196 -0.001168 -0.002894 0.000459 1 1
59 1776785632.643912 -0.164342 -0.136933 -0.000858 0.973736 194 0.002205 0.003204 -0.002528 0 0
60 1776785632.749072 -0.166757 -0.141598 -0.000099 0.969063 196 -0.002415 -0.004665 0.000759 1 1
61 1776785632.853710 -0.167392 -0.138920 0.001831 0.974446 200 -0.000635 0.002679 0.001931 1 1
62 1776785632.958734 -0.168337 -0.137516 -0.000823 0.968177 200 -0.000946 0.001403 -0.002654 1 1
63 1776785633.062428 -0.173459 -0.143724 -0.000629 0.971061 196 -0.005121 -0.006208 0.000194 1 1
64 1776785633.166083 -0.173671 -0.145897 0.000556 0.972866 197 -0.000212 -0.002172 0.001185 1 1
65 1776785633.274908 -0.174607 -0.142199 0.001388 0.980000 206 -0.000937 0.003697 0.000832 1 1
66 1776785633.375520 -0.179723 -0.147296 0.002738 0.979648 200 -0.005115 -0.005097 0.001350 1 1
67 1776785633.479625 -0.175092 -0.146979 0.001265 0.973579 195 0.004631 0.000317 -0.001473 1 1
68 1776785633.588515 -0.179505 -0.148701 0.000025 0.969342 196 -0.004413 -0.001722 -0.001240 1 1
69 1776785633.689332 -0.182166 -0.151532 0.000249 0.974210 195 -0.002662 -0.002830 0.000224 1 1
70 1776785633.792483 -0.181443 -0.151107 0.000915 0.983495 200 0.000724 0.000425 0.000666 1 1
71 1776785633.898122 -0.182422 -0.150426 -0.000337 0.976693 201 -0.000979 0.000681 -0.001252 1 1
72 1776785634.001553 -0.182013 -0.148241 0.000559 0.968245 199 0.000409 0.002185 0.000897 1 1
73 1776785634.106340 -0.184443 -0.150671 -0.000081 0.985344 195 -0.002430 -0.002430 -0.000641 1 1
74 1776785634.214902 -0.184571 -0.152721 0.000710 0.980486 196 -0.000128 -0.002050 0.000791 1 1
75 1776785634.315556 -0.187650 -0.153454 0.000765 0.976691 195 -0.003079 -0.000733 0.000055 1 1
76 1776785634.425059 -0.189874 -0.160587 0.000279 0.976969 194 -0.002224 -0.007133 -0.000486 1 1
77 1776785634.529114 -0.189286 -0.158929 0.000441 0.978213 196 0.000588 0.001659 0.000162 1 1
78 1776785634.629971 -0.193308 -0.161751 0.001064 0.972374 194 -0.004022 -0.002822 0.000623 1 1
79 1776785634.739968 -0.195571 -0.164065 0.000140 0.980364 193 -0.002263 -0.002314 -0.000925 1 1
80 1776785634.837374 -0.193919 -0.164224 0.000256 0.977093 197 0.001651 -0.000160 0.000117 0 0
81 1776785634.942133 -0.191825 -0.163786 0.000162 0.977846 199 0.002094 0.000438 -0.000094 1 1
82 1776785635.046570 -0.193710 -0.165187 0.000308 0.965821 197 -0.001885 -0.001401 0.000146 1 1
83 1776785635.152704 -0.191043 -0.163939 0.000489 0.974732 196 0.002668 0.001248 0.000181 1 1
84 1776785635.255739 -0.196925 -0.167987 0.000502 0.974440 195 -0.005883 -0.004048 0.000014 1 1
85 1776785635.360511 -0.194324 -0.166936 0.000196 0.968179 197 0.002601 0.001051 -0.000307 1 1
86 1776785635.466448 -0.198450 -0.169507 0.000698 0.986298 194 -0.004126 -0.002571 0.000503 1 1
87 1776785635.572930 -0.198678 -0.175185 0.001413 0.980261 196 -0.000228 -0.005678 0.000715 1 1
88 1776785635.673237 -0.195797 -0.173074 0.000544 0.970643 196 0.002881 0.002111 -0.000869 1 1
89 1776785635.782077 -0.201219 -0.175762 0.001745 0.975606 197 -0.005422 -0.002688 0.001202 1 1
90 1776785635.883097 -0.201481 -0.176420 0.001244 0.983140 196 -0.000262 -0.000658 -0.000502 1 1
91 1776785635.990805 -0.203959 -0.177875 0.001833 0.967686 199 -0.002479 -0.001455 0.000589 1 1
92 1776785636.093461 -0.200559 -0.175293 0.000283 0.973211 200 0.003400 0.002582 -0.001550 1 1
93 1776785636.195500 -0.204982 -0.179106 0.000654 0.980126 197 -0.004423 -0.003812 0.000371 1 1
94 1776785636.298638 -0.204696 -0.178932 -0.000145 0.983185 196 0.000286 0.000174 -0.000799 1 1
95 1776785636.406697 -0.210152 -0.182484 0.000420 0.975988 204 -0.005456 -0.003553 0.000565 1 1
96 1776785636.506899 -0.210502 -0.182266 -0.000658 0.976794 195 -0.000351 0.000219 -0.001077 1 1
97 1776785636.619568 -0.205969 -0.181510 -0.000254 0.977962 199 0.004533 0.000756 0.000404 1 1
98 1776785636.715225 -0.211568 -0.184013 -0.000927 0.979637 196 -0.005599 -0.002504 -0.000672 0 0
99 1776785636.820007 -0.209904 -0.182048 -0.001304 0.971889 200 0.001664 0.001965 -0.000377 1 1
100 1776785636.925214 -0.210584 -0.185602 -0.000041 0.976357 197 -0.000681 -0.003553 0.001263 1 1
101 1776785637.030318 -0.215170 -0.185878 -0.000736 0.977786 195 -0.004586 -0.000276 -0.000696 1 1
102 1776785637.137103 -0.211674 -0.185065 -0.000116 0.976065 200 0.003497 0.000813 0.000620 1 1
103 1776785637.236619 -0.214651 -0.185276 0.000086 0.972659 196 -0.002977 -0.000211 0.000202 0 0
104 1776785637.341516 -0.216875 -0.190354 0.000288 0.975462 194 -0.002224 -0.005079 0.000202 1 1
105 1776785637.444845 -0.214805 -0.187154 0.000225 0.979073 202 0.002070 0.003200 -0.000063 1 1
106 1776785637.549377 -0.219938 -0.187817 0.002810 0.977920 196 -0.005133 -0.000663 0.002584 1 1
107 1776785637.661306 -0.220227 -0.188073 0.000017 0.967749 193 -0.000290 -0.000255 -0.002792 1 1
108 1776785637.757431 -0.216617 -0.187093 -0.000016 0.981361 195 0.003610 0.000979 -0.000033 0 0
109 1776785637.860725 -0.221879 -0.189862 0.001598 0.980490 196 -0.005262 -0.002768 0.001614 1 1
110 1776785637.964993 -0.221830 -0.191431 0.000240 0.980937 196 0.000049 -0.001569 -0.001358 1 1
111 1776785638.069376 -0.219608 -0.191413 0.000123 0.978302 195 0.002223 0.000018 -0.000117 1 1
112 1776785638.176551 -0.218773 -0.191097 0.000866 0.975953 195 0.000834 0.000316 0.000743 1 1
113 1776785638.278186 -0.227160 -0.195585 0.000503 0.973225 194 -0.008386 -0.004488 -0.000363 1 1
114 1776785638.383299 -0.224160 -0.195245 0.000536 0.983939 194 0.003000 0.000340 0.000033 1 1
115 1776785638.488374 -0.225532 -0.196229 -0.000142 0.965702 200 -0.001372 -0.000984 -0.000677 1 1
116 1776785638.593002 -0.225114 -0.200101 0.000221 0.974533 195 0.000417 -0.003872 0.000362 1 1
117 1776785638.699043 -0.233677 -0.202845 0.000230 0.981220 196 -0.008563 -0.002744 0.000009 1 1
118 1776785638.801851 -0.234237 -0.204788 -0.001119 0.979175 197 -0.000559 -0.001943 -0.001349 1 1
119 1776785638.905961 -0.233273 -0.201464 0.000333 0.962522 196 0.000963 0.003324 0.001452 1 1
120 1776785639.018350 -0.233836 -0.206949 -0.001743 0.970723 201 -0.000563 -0.005485 -0.002075 1 1
121 1776785639.115417 -0.231761 -0.203345 -0.001085 0.969181 196 0.002075 0.003604 0.000658 0 0
122 1776785639.219884 -0.236449 -0.203645 -0.001506 0.970231 196 -0.004688 -0.000300 -0.000421 1 1
123 1776785639.323215 -0.231671 -0.202430 -0.002849 0.948770 200 0.004777 0.001215 -0.001343 1 1
124 1776785639.434070 -0.223354 -0.210084 -0.002089 0.954614 196 0.008318 -0.007655 0.000760 1 1
125 1776785639.532591 -0.213078 -0.207441 -0.005719 0.912618 196 0.010276 0.002644 -0.003629 0 0
126 1776785639.637390 -0.187833 -0.200775 -0.008415 0.837963 195 -0.024755 0.006666 -0.002696 1 1
127 1776785639.742352 -0.172306 -0.206385 -0.010731 0.819565 193 0.015527 -0.005610 -0.002316 1 1
