============================================================
Dataset      : lab_run_2
Scan variant : raw
Scan file    : /home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
Geometry     : beams=909  angle=[-180.0°, 180.0°]  range=[0.10, 16.00] m  has_odom=False
IMU file     : /home/kaushik/slam_ws/datasets/lab_run_2/imu.csv
Total scans  : 1052
Matcher      : scan_to_submap
Extrapolator : OFF (raw odom / last pose)
Odom alpha   : 0.0
Voxel filter : True
============================================================
Online PGO   : ON (g2o pose graph + loop closure)
MotionFilter thresholds:  time=0.100s  dist=0.100m  angle=4.50deg
Using PGO backend: G2oBackend2D
  ┌─── SUBMAP #0 CREATED at scan k=0  (pose=(0.00,0.00,0.00))  active=2  finished=0
k=  350 MATCH     pose=(4.57,0.60,68.7°)  score=0.799  d=(0.015,0.036,-0.061)  inl=204  raw=591  pts=204  di=1
k=  360 MATCH     pose=(4.81,0.84,28.0°)  score=0.787  d=(0.062,0.062,-0.097)  inl=197  raw=612  pts=204  di=1
k=  370 MATCH     pose=(5.12,0.86,0.1°)  score=0.855  d=(0.050,0.009,-0.013)  inl=199  raw=612  pts=203  di=1
k=  380 MATCH     pose=(5.57,0.82,-16.1°)  score=0.790  d=(0.047,-0.010,-0.024)  inl=214  raw=605  pts=214  di=1
k=  390 MATCH     pose=(6.01,0.77,-5.7°)  score=0.873  d=(0.044,-0.005,0.000)  inl=203  raw=595  pts=203  di=1
  ┌─── SUBMAP #6 CREATED at scan k=399  (pose=(6.43,0.78,0.03))  active=2  finished=5
k=  400 MATCH     pose=(6.53,0.78,1.5°)  score=0.843  d=(-0.014,-0.096,-0.001)  inl=202  raw=559  pts=202  di=0
k=  410 MATCH     pose=(7.29,0.94,0.5°)  score=0.759  d=(-0.005,-0.034,-0.003)  inl=201  raw=550  pts=201  di=1
k=  420 MATCH     pose=(7.88,0.96,-1.9°)  score=0.810  d=(-0.006,-0.061,-0.008)  inl=201  raw=559  pts=201  di=1
k=  430 MATCH     pose=(8.42,0.94,-9.9°)  score=0.712  d=(-0.009,-0.024,-0.076)  inl=203  raw=557  pts=203  di=1
