query,cand,dbow,coarse,refined,accepted
127,81,0.052,0.8894,0.8894,True
341,244,0.0503,0.8294,0.8294,False
343,246,0.0578,0.7438,0.7438,True
344,247,0.0833,0.8866,0.8866,True
344,246,0.0647,0.8752,0.8752,True
345,247,0.0635,0.9162,0.9162,True
346,248,0.0728,0.9355,0.9355,True
346,249,0.0652,0.9355,0.9355,True
347,252,0.0671,0.9299,0.9299,True
347,251,0.0545,0.9299,0.9299,True
348,252,0.0508,0.9406,0.9406,True
349,252,0.0809,0.927,0.927,True
350,253,0.0634,0.9173,0.9173,True
428,112,0.0551,0.2208,0.2208,False
429,112,0.0632,0.3292,0.3292,False
429,114,0.0512,0.3274,0.3274,False
430,115,0.0508,0.3035,0.3035,False
431,115,0.0898,0.3704,0.3704,False
431,114,0.0665,0.3686,0.3686,False
434,117,0.0521,0.4575,0.4575,False
450,133,0.1157,0.8188,0.8188,False
451,134,0.105,0.5582,0.5582,False
451,153,0.055,0.6105,0.6105,True
452,134,0.117,0.8603,0.8603,False
452,153,0.0834,0.8931,0.8931,False
453,136,0.1579,0.9756,0.9756,True
453,135,0.0887,0.9756,0.9756,True
454,137,0.0522,0.9813,0.9813,True
455,138,0.0861,0.9785,0.9785,True
456,137,0.0847,0.9659,0.9659,True
456,139,0.076,0.9659,0.9659,True
457,139,0.1637,0.9313,0.9313,False
457,137,0.0922,0.9329,0.9329,True
458,141,0.0892,0.728,0.728,True
458,142,0.0783,0.728,0.728,True
459,150,0.088,0.8796,0.8796,True
459,148,0.0756,0.8796,0.8796,True
460,141,0.0926,0.8837,0.8837,True
460,147,0.0611,0.8897,0.8897,True
461,148,0.0915,0.9192,0.9192,True
461,142,0.0828,0.9177,0.9177,True
462,142,0.1348,0.9047,0.9047,True
462,143,0.0994,0.9047,0.9047,True
463,143,0.1053,0.9107,0.9107,True
463,146,0.081,0.9092,0.9092,True
464,142,0.0724,0.9666,0.9666,True
464,141,0.0583,0.9666,0.9666,True
465,149,0.0577,0.8953,0.8953,True
465,145,0.0568,0.8953,0.8953,True
466,150,0.1057,0.8187,0.8187,True
467,149,0.0706,0.8409,0.8409,True
467,147,0.059,0.8409,0.8409,True
608,40,0.0501,0.0048,0.0048,False
