kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
66,1781016194.652451,7.2814,-0.613,-1.65754,lidar,native_s2m,icp,proximity,0.8957
67,1781016195.58625,7.32,-0.8145,-1.42822,lidar,native_s2m,icp,proximity,0.8595
68,1781016196.727074,7.3979,-1.0525,-1.34711,lidar,native_s2m,icp,proximity,0.8839
69,1781016197.350565,7.4016,-1.1761,-1.56829,lidar,native_s2m,icp,proximity,0.8218
70,1781016197.868808,7.3808,-1.2503,-1.80384,lidar,native_s2m,icp,proximity,0.8008
71,1781016198.6972,7.2954,-1.4369,-2.06295,lidar,native_s2m,icp,proximity,0.8632
72,1781016199.531892,7.2374,-1.5236,-2.28086,lidar,native_s2m,icp,proximity,0.9053
73,1781016200.786667,7.1138,-1.6425,-2.51084,lidar,native_s2m,icp,proximity,0.8736
74,1781016201.727775,6.9832,-1.7105,-2.72947,lidar,native_s2m,icp,proximity,0.8875
75,1781016202.671486,6.8073,-1.7695,-2.96743,lidar,native_s2m,icp,proximity,0.8595
76,1781016203.818857,6.622,-1.8086,3.11888,lidar,native_s2m,icp,proximity,0.8486
77,1781016204.864184,6.3479,-1.7969,3.01823,lidar,native_s2m,icp,proximity,0.8674
78,1781016205.693657,6.1828,-1.7557,2.80448,lidar,native_s2m,icp,proximity,0.9152
79,1781016206.634776,5.9906,-1.684,2.55845,lidar,native_s2m,icp,proximity,0.8413
80,1781016207.575781,5.8345,-1.5563,2.34771,lidar,native_s2m,icp,proximity,0.8753
81,1781016208.000209,5.7147,-1.523,2.08954,lidar,native_s2m,icp,proximity,0.911
82,1781016209.047152,5.6274,-1.3076,1.83866,lidar,native_s2m,icp,proximity,0.9043
83,1781016210.299711,5.5873,-1.0451,1.62493,lidar,native_s2m,icp,proximity,0.9131
84,1781016211.351503,5.5753,-0.7923,1.54168,lidar,native_s2m,icp,proximity,0.9122
85,1781016212.292142,5.5926,-0.6061,1.31179,lidar,native_s2m,icp,proximity,0.927
86,1781016213.235309,5.6115,-0.4366,1.06454,lidar,native_s2m,icp,proximity,0.932
87,1781016214.48502,5.7305,-0.2574,0.84112,lidar,native_s2m,icp,proximity,0.9071
88,1781016215.941417,5.9237,-0.0828,0.65699,lidar,native_s2m,icp,proximity,0.9559
89,1781016216.981171,6.1296,0.0589,0.53915,lidar,native_s2m,icp,proximity,0.8741
90,1781016218.132344,6.3354,0.2262,0.61277,lidar,native_s2m,icp,proximity,0.9324
91,1781016219.268502,6.5126,0.4284,0.75155,lidar,native_s2m,icp,proximity,0.9287
92,1781016220.204694,6.6649,0.6446,0.97042,lidar,native_s2m,icp,proximity,0.9302
93,1781016220.828247,6.7056,0.7818,1.22101,lidar,native_s2m,icp,proximity,0.8915
94,1781016222.185885,6.7341,1.0437,1.3259,lidar,native_s2m,icp,proximity,0.9227
95,1781016223.64332,6.788,1.2953,1.22062,lidar,native_s2m,icp,proximity,0.9104
96,1781016224.894605,6.862,1.4845,0.9823,lidar,native_s2m,icp,proximity,0.9266
97,1781016225.62904,6.9176,1.5454,0.74005,lidar,native_s2m,icp,proximity,0.9368
98,1781016226.874746,7.1129,1.6846,0.48879,lidar,native_s2m,icp,proximity,0.8929
99,1781016227.396793,7.204,1.7111,0.26652,lidar,native_s2m,icp,proximity,0.9214
100,1781016228.749744,7.4437,1.7552,0.05565,lidar,native_s2m,icp,proximity,0.9316
101,1781016229.905068,7.6825,1.7631,-0.16888,lidar,native_s2m,icp,proximity,0.8681
102,1781016230.424985,7.7685,1.7247,-0.42072,lidar,native_s2m,icp,proximity,0.9302
103,1781016231.150945,7.9001,1.6438,-0.63431,lidar,native_s2m,icp,proximity,0.9497
104,1781016231.673881,7.984,1.5683,-0.85939,lidar,native_s2m,icp,proximity,0.8983
105,1781016232.19574,8.0269,1.4763,-1.09769,lidar,native_s2m,icp,proximity,0.9125
106,1781016233.23619,8.1128,1.2827,-1.30288,lidar,native_s2m,icp,proximity,0.9417
107,1781016234.390335,8.1567,1.0173,-1.49729,lidar,native_s2m,icp,proximity,0.9091
108,1781016235.757432,8.1654,0.7912,-1.72665,lidar,native_s2m,icp,proximity,0.9007
109,1781016237.116164,8.1053,0.5398,-1.9543,lidar,native_s2m,icp,proximity,0.8807
110,1781016237.536298,8.0565,0.4717,-2.17465,lidar,native_s2m,icp,proximity,0.9123
111,1781016238.583031,7.9076,0.2969,-2.42443,lidar,native_s2m,icp,proximity,0.9186
112,1781016239.0026,7.8357,0.2597,-2.64054,lidar,native_s2m,icp,proximity,0.9151
113,1781016240.258309,7.5915,0.1459,-2.88378,lidar,native_s2m,icp,proximity,0.9271
114,1781016241.503498,7.3436,0.0841,-2.99281,lidar,native_s2m,icp,proximity,0.9184
115,1781016242.753892,7.0998,0.0054,-2.94123,lidar,native_s2m,icp,proximity,0.9252
116,1781016243.894529,6.8436,-0.0431,-3.03417,lidar,native_s2m,icp,proximity,0.9381
117,1781016245.033656,6.5798,-0.0769,-3.13134,lidar,native_s2m,icp,proximity,0.9424
118,1781016246.063878,6.3158,-0.0756,3.06259,lidar,native_s2m,icp,proximity,0.9298
119,1781016247.104277,6.0521,-0.0815,3.1204,lidar,native_s2m,icp,proximity,0.925
120,1781016248.033819,5.7967,-0.1024,-3.07682,lidar,native_s2m,icp,proximity,0.9334
121,1781016249.07693,5.5182,-0.1356,-3.0778,lidar,native_s2m,icp,proximity,0.9218
122,1781016250.125363,5.2688,-0.1709,-3.07186,lidar,native_s2m,icp,proximity,0.9226
123,1781016251.062907,5.0175,-0.2121,-3.05063,lidar,native_s2m,icp,proximity,0.892
124,1781016252.306767,4.7606,-0.2589,-2.99444,lidar,native_s2m,icp,proximity,0.8727
125,1781016253.456845,4.5006,-0.318,-3.00614,lidar,native_s2m,icp,proximity,0.8889
126,1781016254.500401,4.2341,-0.3801,-3.01689,lidar,native_s2m,icp,proximity,0.8988
127,1781016255.542453,3.9751,-0.4326,-3.0175,lidar,native_s2m,icp,proximity,0.8703
128,1781016256.587616,3.7053,-0.4852,-3.01568,lidar,native_s2m,icp,proximity,0.8925
129,1781016257.628676,3.4517,-0.5022,3.09848,lidar,native_s2m,icp,proximity,0.8951
130,1781016258.677184,3.1917,-0.4842,2.99882,lidar,native_s2m,icp,proximity,0.9069
131,1781016259.924886,2.9224,-0.4521,2.89013,lidar,native_s2m,icp,proximity,0.921
132,1781016261.076677,2.6804,-0.3876,2.79453,lidar,native_s2m,icp,proximity,0.9121
133,1781016262.334183,2.4391,-0.3046,2.70469,lidar,native_s2m,icp,proximity,0.9084
134,1781016263.482203,2.2066,-0.1956,2.60317,lidar,native_s2m,icp,proximity,0.9296
135,1781016264.531996,2.0362,-0.0611,2.3744,lidar,native_s2m,icp,proximity,0.8661
136,1781016265.782944,1.8968,0.0545,2.15688,lidar,native_s2m,icp,proximity,0.8875
137,1781016266.618073,1.8457,0.2053,1.93779,lidar,native_s2m,icp,proximity,0.8586
138,1781016267.352252,1.8058,0.336,1.72032,lidar,native_s2m,icp,proximity,0.9085
139,1781016268.602066,1.7657,0.6091,1.61839,lidar,native_s2m,icp,proximity,0.8938
140,1781016269.756813,1.7616,0.8757,1.51369,lidar,native_s2m,icp,proximity,0.9071
141,1781016271.328854,1.7387,0.7502,1.27782,lidar,native_s2m,icp,proximity,0.8893
142,1781016271.955469,1.7079,0.6143,1.03332,lidar,native_s2m,icp,proximity,0.917
143,1781016272.475663,1.6636,0.5065,0.82191,lidar,native_s2m,icp,proximity,0.8807
144,1781016272.996234,1.5889,0.4076,0.60193,lidar,native_s2m,icp,proximity,0.8877
145,1781016273.51591,1.4767,0.3338,0.34956,lidar,native_s2m,icp,proximity,0.8938
146,1781016274.557864,1.225,0.2287,0.21053,lidar,native_s2m,icp,proximity,0.9239
147,1781016275.491993,0.969,0.1659,0.09601,lidar,native_s2m,icp,proximity,0.892
148,1781016276.425944,0.7109,0.1237,0.07134,lidar,native_s2m,icp,proximity,0.9229
149,1781016277.360628,0.4588,0.0819,0.05632,lidar,native_s2m,icp,proximity,0.9081
150,1781016278.392853,0.2044,0.0521,0.03989,lidar,native_s2m,icp,proximity,0.9236
151,1781016280.473106,-0.0044,0.0126,0.02965,lidar,native_s2m,icp,proximity,0.9157
152,1781016282.548883,-0.0071,0.013,0.02793,lidar,native_s2m,icp,proximity,0.8879
153,1781016284.62718,-0.0114,0.0137,0.03011,lidar,native_s2m,icp,proximity,0.9344
154,1781016286.706917,-0.0101,0.0138,0.029,lidar,native_s2m,icp,proximity,0.939
