query,cand,coarse,refined,dx,dy,dth,accepted
75,45,0.4488,0.4488,0.739,0.836,-0.0418,False
80,50,0.5203,0.5203,0.857,0.703,-0.0178,False
80,49,0.5203,0.5203,0.857,0.703,-0.0178,False
85,55,0.5316,0.5316,0.826,0.447,-0.0099,False
85,54,0.5521,0.5521,0.787,0.438,-0.0103,False
90,60,0.9159,0.9159,0.537,0.319,-0.0145,True
90,59,0.9159,0.9159,0.539,0.321,-0.0148,True
95,63,0.9636,0.9636,0.039,-0.045,0.0074,True
95,64,0.9636,0.9636,0.04,-0.043,0.0074,True
100,70,0.9836,0.9836,0.219,-0.095,0.0359,True
100,69,0.9836,0.9836,0.21,-0.098,0.0375,True
105,61,0.9851,0.9851,0.18,-0.102,-0.0195,True
105,62,0.9868,0.9868,0.18,-0.098,-0.0196,True
110,66,0.9574,0.9574,0.209,-0.153,-0.0337,True
110,65,0.9557,0.9557,0.192,-0.165,-0.0431,True
115,66,0.5257,0.5257,0.303,0.068,-0.0603,False
115,65,0.5226,0.5226,0.305,0.062,-0.0512,False
120,66,0.1559,0.1559,0.478,0.074,-0.0489,False
120,65,0.1559,0.1559,0.478,0.074,-0.049,False
125,66,0.0502,0.0502,-0.146,-0.117,0.0445,False
160,130,0.5292,0.5292,0.624,1.023,0.0617,False
160,129,0.393,0.393,0.654,0.863,0.0226,False
165,135,0.5235,0.5235,0.467,0.812,0.0375,False
165,134,0.5255,0.5255,0.468,0.815,0.0376,False
170,136,0.4375,0.4375,0.097,0.596,-0.0774,False
170,135,0.4375,0.4375,0.096,0.596,-0.0777,False
175,134,0.4608,0.4608,0.882,0.868,0.1364,False
175,135,0.4014,0.4014,0.869,0.901,0.1596,False
180,133,0.7673,0.7673,0.807,0.571,0.1728,False
180,132,0.8757,0.8757,0.875,0.63,0.1485,False
185,132,0.7193,0.7193,0.564,0.433,-0.0183,True
185,133,0.7039,0.7039,0.555,0.421,-0.0205,False
