query,cand,dbow,coarse,refined,accepted
266,234,0.0667,0,0.0,False
268,233,0.0556,0,0.0,False
270,234,0.0624,1,0.0,False
291,255,0.0519,3,0.0,False
364,206,0.0641,50,0.685,True
365,209,0.0521,53,0.898,True
366,207,0.0611,53,0.869,True
366,209,0.0592,63,0.984,True
368,211,0.0791,84,0.857,True
368,210,0.0611,60,0.882,True
369,212,0.0805,34,0.607,False
370,215,0.0663,46,0.807,True
370,213,0.064,68,0.883,True
371,215,0.0849,69,0.92,True
371,213,0.0514,44,0.746,True
372,216,0.0875,31,0.705,False
373,216,0.056,26,0.722,False
374,216,0.0558,23,0.719,False
377,219,0.0607,36,0.818,False
