query,cand,dbow,coarse,refined,accepted
156,93,0.0545,0.6928,0.5927,False
156,92,0.0542,0.6937,0.5956,False
159,92,0.0659,0.5514,0.543,False
160,92,0.0583,,,False
175,91,0.052,0.6038,0.5068,False
177,92,0.0527,,,False
178,101,0.0593,0.6435,0.5311,False
179,103,0.0705,0.6186,0.563,False
179,100,0.0614,0.6259,0.5443,False
180,99,0.0526,0.605,0.5624,False
181,101,0.076,0.6079,0.5019,False
181,108,0.0615,0.6465,0.5343,False
184,106,0.0591,0.6309,0.5216,False
184,104,0.0565,0.6415,0.5382,False
232,112,0.0518,0.5542,0.5323,False
390,349,0.0583,0.6195,0.4523,False
391,361,0.0804,0.5904,0.4602,False
391,356,0.0604,0.5925,0.4583,False
392,362,0.1642,0.6586,0.5102,False
392,360,0.142,0.6586,0.5105,False
393,363,0.0955,0.6302,0.5298,False
393,358,0.0855,0.6334,0.5488,False
394,363,0.0955,0.6399,0.558,False
394,358,0.0855,0.6403,0.5568,False
407,365,0.0621,0.5987,0.584,False
407,361,0.0621,0.5924,0.5637,False
408,365,0.1073,0.6002,0.6006,True
408,367,0.1058,0.6079,0.6019,True
409,365,0.1627,0.5992,0.5932,False
409,360,0.1328,0.5952,0.5544,False
410,356,0.0786,0.6051,0.5549,False
410,365,0.0786,0.5969,0.5853,False
411,362,0.0833,0.6064,0.5831,False
411,364,0.0731,0.5904,0.5742,False
412,359,0.0526,0.5937,0.5799,False
412,361,0.0526,0.5937,0.5799,False
413,363,0.1217,0.6136,0.5781,False
413,349,0.0583,0.6099,0.5752,False
414,352,0.056,0.597,0.5789,False
481,327,0.0563,0.5563,0.5482,False
484,328,0.109,0.5917,0.5805,False
484,329,0.0524,0.5917,0.5805,False
485,328,0.0656,0.5777,0.5754,False
485,333,0.0564,0.5952,0.5796,False
486,331,0.0703,0.5812,0.5815,False
486,330,0.0534,0.5812,0.5815,False
487,330,0.0625,,,False
487,334,0.0541,,,False
488,334,0.0614,0.5458,0.5427,False
489,334,0.0802,0.5606,0.5553,False
489,333,0.0511,0.5547,0.5505,False
490,335,0.0773,0.5563,0.5534,False
490,336,0.0523,0.5578,0.5446,False
491,335,0.0671,0.5639,0.5553,False
491,336,0.0659,0.5607,0.5488,False
574,137,0.0514,-1.0,-1.0,False
575,147,0.063,0.5108,0.5016,False
575,138,0.0601,0.5099,0.5059,False
579,143,0.0648,0.5133,0.5063,False
586,149,0.0563,-1.0,-1.0,False
599,187,0.0634,-1.0,-1.0,False
601,190,0.0861,-1.0,-1.0,False
601,188,0.0741,-1.0,-1.0,False
602,192,0.1034,-1.0,-1.0,False
603,192,0.1157,-1.0,-1.0,False
604,193,0.1006,-1.0,-1.0,False
605,193,0.1285,-1.0,-1.0,False
605,195,0.0578,-1.0,-1.0,False
606,194,0.1267,-1.0,-1.0,False
607,195,0.0598,-1.0,-1.0,False
607,198,0.0513,-1.0,-1.0,False
608,197,0.0822,-1.0,-1.0,False
608,195,0.0779,-1.0,-1.0,False
609,196,0.0959,-1.0,-1.0,False
609,198,0.0728,-1.0,-1.0,False
610,198,0.124,-1.0,-1.0,False
610,196,0.1151,-1.0,-1.0,False
611,208,0.1706,,,False
611,207,0.1252,,,False
612,201,0.0916,-1.0,-1.0,False
612,207,0.0811,-1.0,-1.0,False
613,207,0.1186,-1.0,-1.0,False
613,199,0.0707,-1.0,-1.0,False
614,201,0.0776,-1.0,-1.0,False
614,202,0.0762,-1.0,-1.0,False
615,205,0.1335,-1.0,-1.0,False
615,206,0.1172,-1.0,-1.0,False
616,205,0.0991,-1.0,-1.0,False
616,201,0.0929,-1.0,-1.0,False
617,206,0.1157,-1.0,-1.0,False
617,208,0.1022,-1.0,-1.0,False
618,207,0.1164,-1.0,-1.0,False
618,208,0.1111,-1.0,-1.0,False
619,208,0.106,-1.0,-1.0,False
619,204,0.0798,-1.0,-1.0,False
620,208,0.0855,-1.0,-1.0,False
620,209,0.0681,-1.0,-1.0,False
800,45,0.0537,,,False
801,45,0.0521,-1.0,-1.0,False
803,43,0.0718,-1.0,-1.0,False
804,42,0.0552,-1.0,-1.0,False
805,41,0.0601,-1.0,-1.0,False
