query,cand,dbow,coarse,refined,accepted
492,458,0.0612,4,0.0,False
493,462,0.0662,8,0.0,False
493,457,0.0608,3,0.0,False
495,453,0.0619,1,0.0,False
495,457,0.0594,2,0.0,False
496,454,0.135,4,0.0,False
496,453,0.1075,1,0.0,False
497,454,0.1728,0,0.0,False
497,453,0.1075,1,0.0,False
498,453,0.1075,3,0.0,False
498,454,0.1014,0,0.0,False
499,453,0.0548,2,0.0,False
514,453,0.0667,0,0.0,False
516,452,0.0556,0,0.0,False
518,453,0.0624,1,0.0,False
539,503,0.0519,3,0.0,False
890,381,0.051,40,0.741,False
891,384,0.0574,37,0.673,False
892,379,0.0553,41,0.774,False
892,384,0.0502,41,0.719,False
893,386,0.0553,42,0.84,False
893,385,0.0503,38,0.776,False
895,385,0.0531,43,0.729,False
895,387,0.0525,33,0.673,False
897,385,0.0584,39,0.672,False
897,383,0.0504,52,0.675,False
898,387,0.0794,65,0.823,False
898,385,0.0646,61,0.772,False
899,388,0.0679,46,0.767,False
899,387,0.0641,50,0.685,False
900,387,0.0724,65,0.677,False
900,384,0.0622,66,0.75,False
901,385,0.0706,48,0.676,False
901,388,0.0641,53,0.791,False
902,386,0.0654,66,0.725,False
902,387,0.0616,55,0.632,False
903,386,0.0622,49,0.671,False
903,388,0.0569,51,0.654,False
904,388,0.0693,44,0.629,False
904,386,0.0626,55,0.733,False
905,387,0.0574,54,0.651,False
905,388,0.0558,47,0.77,False
906,388,0.05,35,0.636,False
908,389,0.0595,78,0.918,False
910,389,0.0553,84,0.933,False
914,389,0.0506,57,0.877,False
914,393,0.0505,50,0.714,False
915,393,0.0577,49,0.803,False
917,393,0.0595,44,0.772,False
918,394,0.0505,34,0.85,False
919,393,0.0545,50,0.833,False
920,393,0.0524,53,0.841,False
922,393,0.0536,52,0.825,False
924,393,0.053,54,0.844,False
927,393,0.0611,44,0.8,False
927,394,0.0568,44,0.83,False
928,393,0.062,51,0.81,False
930,391,0.0652,19,0.5,False
930,392,0.059,30,0.612,False
931,392,0.0543,34,0.81,False
932,391,0.0809,23,0.622,False
932,398,0.059,21,0.724,False
933,391,0.0521,17,0.5,False
933,392,0.052,16,0.485,False
934,394,0.0582,53,0.768,False
934,395,0.0567,57,0.74,False
935,393,0.0733,54,0.74,False
935,395,0.0647,57,0.792,False
936,395,0.066,58,0.763,False
936,393,0.0611,47,0.701,False
937,395,0.0657,73,0.869,False
938,393,0.0638,47,0.783,False
938,395,0.0589,76,0.884,False
939,395,0.0576,86,0.887,False
939,394,0.0506,53,0.757,False
940,395,0.067,71,0.807,False
940,394,0.0593,58,0.806,False
941,395,0.0633,68,0.829,False
941,394,0.0593,49,0.778,False
942,395,0.0736,92,0.836,False
943,395,0.0803,90,0.857,False
944,395,0.0894,82,0.854,False
945,395,0.0862,72,0.809,False
946,393,0.0677,52,0.852,False
946,396,0.0532,26,0.591,False
948,396,0.1034,54,0.831,False
948,397,0.0591,24,0.545,False
949,396,0.1386,51,0.729,False
949,397,0.1101,34,0.567,False
950,397,0.1265,42,0.808,False
950,398,0.0985,40,0.8,False
951,398,0.1643,44,0.83,False
951,397,0.1058,38,0.633,False
952,397,0.1425,39,0.736,False
952,398,0.1313,41,0.759,False
953,398,0.1258,44,0.8,False
953,397,0.122,40,0.678,False
954,398,0.1266,45,0.726,False
954,397,0.0575,32,0.653,False
955,398,0.1195,38,0.76,False
955,396,0.0995,31,0.738,False
956,401,0.0623,19,0.613,False
956,396,0.0622,27,0.659,False
957,399,0.0694,64,0.81,False
958,399,0.092,62,0.886,False
958,400,0.0647,42,0.808,False
959,399,0.0905,61,0.859,False
959,400,0.079,39,0.765,False
960,399,0.1147,67,0.827,False
960,400,0.0733,38,0.844,False
961,399,0.087,69,0.831,False
962,399,0.0631,63,0.829,False
962,400,0.0612,65,0.89,False
963,400,0.0629,49,0.731,False
964,400,0.0817,61,0.859,False
964,399,0.0518,39,0.796,False
965,401,0.0767,36,0.837,False
965,402,0.0722,30,0.938,False
966,404,0.1433,31,0.838,False
966,403,0.0907,36,0.818,False
967,404,0.0681,30,0.857,False
967,403,0.0634,23,0.676,False
968,404,0.1103,31,0.816,False
968,403,0.0765,30,0.789,False
969,405,0.0916,28,0.757,False
969,406,0.0849,26,0.788,False
970,406,0.0817,24,0.686,False
970,407,0.0754,29,0.744,False
971,406,0.0958,28,0.7,False
971,407,0.0819,29,0.806,False
972,409,0.1104,48,0.814,False
972,404,0.0753,18,0.692,False
973,406,0.1083,23,0.793,False
973,410,0.0967,44,0.815,False
974,408,0.0721,43,0.811,False
974,416,0.0659,18,0.818,False
975,411,0.1127,42,0.808,False
975,416,0.0977,18,0.783,False
976,410,0.0876,43,0.878,False
976,416,0.0756,25,0.758,False
982,414,0.0607,36,0.818,False
983,418,0.0783,31,0.816,False
983,417,0.078,30,0.811,False
984,416,0.0772,29,0.829,False
984,419,0.0587,22,0.595,False
985,416,0.1054,34,0.829,False
985,417,0.0883,37,0.755,False
986,419,0.0623,32,0.762,False
986,421,0.0602,18,0.72,False
987,417,0.0755,22,0.688,False
987,421,0.0741,14,0.0,False
988,419,0.0682,22,0.647,False
988,421,0.0653,18,0.6,False
989,421,0.0591,22,0.71,False
989,420,0.0523,27,0.73,False
991,420,0.0578,25,0.735,False
991,421,0.0512,25,0.862,False
992,421,0.052,28,0.737,False
1363,1324,0.0565,14,0.0,False
1602,10,0.0519,41,0.953,False
1641,1611,0.1147,76,0.95,False
1646,1614,0.2021,137,0.986,False
1646,1610,0.1818,135,0.993,False
1647,1616,0.1523,139,0.993,False
1647,1617,0.1491,138,0.986,False
1648,1617,0.1537,145,0.98,False
1648,1612,0.1443,141,0.986,False
1649,1617,0.1399,140,0.993,False
1649,1619,0.1376,150,0.987,False
1650,1617,0.1707,154,0.994,False
1650,1619,0.1616,156,0.987,False
1651,1617,0.1544,154,1.0,False
1651,1621,0.1479,156,0.994,False
1652,1622,0.166,153,0.987,False
1652,1621,0.1657,148,0.993,False
1653,1622,0.1801,153,1.0,False
1653,1621,0.169,148,0.993,False
1654,1621,0.1824,156,1.0,False
1654,1624,0.1812,147,1.0,False
1655,1625,0.1761,156,0.994,False
1655,1623,0.1712,147,0.993,False
1656,1625,0.1913,154,0.987,False
