query,cand,coarse,refined,dx,dy,dth,accepted
55,25,0.3945,0.3945,0.707,0.598,0.0127,False
60,29,0.5305,0.5305,0.404,0.721,0.0746,False
60,30,0.5474,0.5474,0.422,0.736,0.0704,False
65,32,0.6837,0.6837,0.653,0.585,0.0425,True
65,31,0.6876,0.6876,0.641,0.581,0.0415,True
70,31,0.3925,0.3925,0.289,0.7,-0.038,False
70,32,0.3943,0.3943,0.303,0.712,-0.0338,False
75,29,0.8538,0.8538,0.743,0.718,0.0464,True
75,31,0.8516,0.8516,0.745,0.726,0.0459,True
80,28,0.9879,0.9879,0.752,0.396,0.0092,False
80,27,0.9899,0.9899,0.768,0.387,0.0107,False
85,27,0.8925,0.8925,0.573,0.28,0.0014,True
85,28,0.8864,0.8864,0.57,0.261,0.007,False
90,30,0.8314,0.8314,0.262,-0.068,-0.0011,True
90,31,0.8391,0.8391,0.276,-0.076,-0.0005,True
95,36,0.9524,0.9524,0.246,-0.113,0.0262,True
95,37,0.9524,0.9524,0.249,-0.103,0.0271,True
100,45,0.9212,0.9212,0.15,-0.163,0.0601,True
100,44,0.9212,0.9212,0.149,-0.164,0.0604,True
105,48,0.988,0.988,0.219,0.076,0.0304,True
105,49,0.99,0.99,0.216,0.091,0.0318,True
110,55,0.9803,0.9803,0.276,0.071,0.0082,True
110,54,0.9781,0.9781,0.281,0.062,0.0071,True
115,61,0.9813,0.9813,0.21,0.069,0.0079,True
115,60,0.9792,0.9792,0.205,0.074,0.0093,True
120,65,0.998,0.998,0.221,0.205,0.0022,True
120,64,1.0,1.0,0.225,0.214,0.0013,True
125,87,0.8066,0.8066,-0.009,0.097,0.0143,True
125,86,0.9042,0.9042,-0.022,0.255,0.013,False
130,26,0.9111,0.9111,0.029,0.619,-0.0129,True
130,27,0.9466,0.9466,0.045,0.416,0.0026,True
135,22,0.9982,0.9982,0.101,0.427,-0.0686,False
135,21,0.9893,0.9893,0.085,0.431,-0.0723,False
140,17,0.977,0.977,0.19,0.438,-0.0407,True
140,18,0.9735,0.9735,0.191,0.444,-0.0374,True
145,13,0.9622,0.9622,0.145,0.489,-0.0639,True
145,14,0.9708,0.9708,0.128,0.477,-0.0626,True
150,13,0.982,0.982,0.046,0.4,-0.0256,True
150,12,0.982,0.982,0.046,0.397,-0.0255,True
155,8,0.9809,0.9809,-0.052,-0.053,0.0105,True
155,5,0.9809,0.9809,-0.051,-0.05,0.0101,True
